week_end,store_id,nps_score,survey_responses
2025-11-23,Store_010,33,211
2025-11-23,Store_011,65,101
2025-11-23,Store_012,29,58
2025-11-23,Store_013,12,129
2025-11-23,Store_014,62,148
2025-11-23,Store_015,69,50
2025-11-23,Store_016,23,158
2025-11-23,Store_017,48,147
2025-11-23,Store_018,40,122
2025-11-23,Store_019,32,149
2025-11-23,Store_020,50,158
2025-11-30,Store_001,54,89
2025-11-30,Store_002,53,178
2025-11-30,Store_003,37,75
2025-11-30,Store_004,54,113
2025-11-30,Store_005,40,102
2025-11-30,Store_006,39,102
2025-11-30,Store_007,39,80
2025-11-30,Store_008,38,127
2025-11-30,Store_009,55,138
2025-11-30,Store_010,46,155
2025-11-30,Store_011,52,124
2025-11-30,Store_012,19,53
2025-11-30,Store_013,42,116
2025-11-30,Store_014,46,35
2025-11-30,Store_015,38,170
2025-11-30,Store_016,53,48
2025-11-30,Store_017,61,113
2025-11-30,Store_018,15,178
2025-11-30,Store_019,39,122
2025-11-30,Store_020,52,91
2025-12-07,Store_001,37,73
2025-12-07,Store_002,56,128
2025-12-07,Store_003,35,135
2025-12-07,Store_004,80,117
2025-12-07,Store_005,54,145
2025-12-07,Store_006,42,141
2025-12-07,Store_007,37,41
2025-12-07,Store_008,51,128
2025-12-07,Store_009,23,144
2025-12-07,Store_010,42,181
2025-12-07,Store_011,61,156
2025-12-07,Store_012,53,121
2025-12-07,Store_013,24,118
2025-12-07,Store_014,35,106
2025-12-07,Store_015,34,116
2025-12-07,Store_016,57,168
2025-12-07,Store_017,35,134
2025-12-07,Store_018,61,112
2025-12-07,Store_019,49,120
2025-12-07,Store_020,55,130
2025-12-14,Store_001,71,81
2025-12-14,Store_002,30,71
2025-12-14,Store_003,38,117
2025-12-14,Store_004,35,85
2025-12-14,Store_005,31,194
2025-12-14,Store_006,38,143
2025-12-14,Store_007,42,150
2025-12-14,Store_008,45,158
2025-12-14,Store_009,52,113
2025-12-14,Store_010,21,76
2025-12-14,Store_011,56,127
2025-12-14,Store_012,52,214
2025-12-14,Store_013,42,112
2025-12-14,Store_014,71,155
2025-12-14,Store_015,45,147
2025-12-14,Store_016,48,83
2025-12-14,Store_017,44,97
2025-12-14,Store_018,29,155
2025-12-14,Store_019,48,136
2025-12-14,Store_020,18,148
2025-12-21,Store_001,51,183
2025-12-21,Store_002,34,120
2025-12-21,Store_003,15,139
2025-12-21,Store_004,52,87
2025-12-21,Store_005,58,107
2025-12-21,Store_006,39,123
2025-12-21,Store_007,35,142
2025-12-21,Store_008,49,111
2025-12-21,Store_009,49,43
2025-12-21,Store_010,40,38
2025-12-21,Store_011,71,126
2025-12-21,Store_012,32,116
2025-12-21,Store_013,55,129
2025-12-21,Store_014,47,92
2025-12-21,Store_015,47,148
2025-12-21,Store_016,56,84
2025-12-21,Store_017,46,135
2025-12-21,Store_018,52,93
2025-12-21,Store_019,46,190
2025-12-21,Store_020,24,151
2025-12-28,Store_001,37,125
2025-12-28,Store_002,13,139
2025-12-28,Store_003,41,123
2025-12-28,Store_004,62,134
2025-12-28,Store_005,53,119
2025-12-28,Store_006,52,98
2025-12-28,Store_007,36,193
2025-12-28,Store_008,40,140
2025-12-28,Store_009,36,121
2025-12-28,Store_010,39,143
2025-12-28,Store_011,46,98
2025-12-28,Store_012,43,130
2025-12-28,Store_013,20,35
2025-12-28,Store_014,39,80
2025-12-28,Store_015,45,123
2025-12-28,Store_016,34,148
2025-12-28,Store_017,51,41
2025-12-28,Store_018,45,152
2025-12-28,Store_019,45,86
2025-12-28,Store_020,45,97
2026-01-04,Store_001,49,120
2026-01-04,Store_002,62,99
2026-01-04,Store_003,43,54
2026-01-04,Store_004,37,147
2026-01-04,Store_005,39,135
2026-01-04,Store_006,49,120
2026-01-04,Store_007,30,118
2026-01-04,Store_008,30,148
2026-01-04,Store_009,68,103
2026-01-04,Store_010,52,147
2026-01-04,Store_011,37,35
2026-01-04,Store_012,32,108
2026-01-04,Store_013,26,102
2026-01-04,Store_014,48,161
2026-01-04,Store_015,43,135
2026-01-04,Store_016,44,98
2026-01-04,Store_017,48,134
2026-01-04,Store_018,42,88
2026-01-04,Store_019,51,126
2026-01-04,Store_020,57,200
2026-01-11,Store_001,23,50
2026-01-11,Store_002,37,144
2026-01-11,Store_003,41,154
2026-01-11,Store_004,42,162
2026-01-11,Store_005,49,82
2026-01-11,Store_006,51,83
2026-01-11,Store_007,33,145
2026-01-11,Store_008,32,132
2026-01-11,Store_009,35,45
2026-01-11,Store_010,19,140
2026-01-11,Store_011,60,138
2026-01-11,Store_012,14,67
2026-01-11,Store_013,52,129
2026-01-11,Store_014,51,81
2026-01-11,Store_015,37,69
2026-01-11,Store_016,50,152
2026-01-11,Store_017,38,115
2026-01-11,Store_018,43,104
2026-01-11,Store_019,30,86
2026-01-11,Store_020,53,194
2026-01-18,Store_001,47,64
2026-01-18,Store_002,21,82
2026-01-18,Store_003,65,125
2026-01-18,Store_004,51,212
2026-01-18,Store_005,40,199
2026-01-18,Store_006,31,140
2026-01-18,Store_007,30,204
2026-01-18,Store_008,34,58
2026-01-18,Store_009,27,142
2026-01-18,Store_010,38,125
2026-01-18,Store_011,46,128
2026-01-18,Store_012,5,145
2026-01-18,Store_013,37,140
2026-01-18,Store_014,36,165
2026-01-18,Store_015,54,86
2026-01-18,Store_016,11,105
2026-01-18,Store_017,31,191
2026-01-18,Store_018,56,95
2026-01-18,Store_019,37,96
2026-01-18,Store_020,10,119
2026-01-25,Store_001,38,92
2026-01-25,Store_002,49,119
2026-01-25,Store_003,37,153
2026-01-25,Store_004,45,87
2026-01-25,Store_005,43,182
2026-01-25,Store_006,34,171
2026-01-25,Store_007,36,83
2026-01-25,Store_008,32,118
2026-01-25,Store_009,59,61
2026-01-25,Store_010,63,164
2026-01-25,Store_011,59,101
2026-01-25,Store_012,24,163
2026-01-25,Store_013,13,148
2026-01-25,Store_014,49,149
2026-01-25,Store_015,47,100
2026-01-25,Store_016,56,88
2026-01-25,Store_017,28,138
2026-01-25,Store_018,49,91
2026-01-25,Store_019,54,135
2026-01-25,Store_020,43,160
2026-02-01,Store_001,6,162
2026-02-01,Store_002,34,153
2026-02-01,Store_003,5,122
2026-02-01,Store_004,60,148
2026-02-01,Store_005,63,123
2026-02-01,Store_006,63,124
2026-02-01,Store_007,51,95
2026-02-01,Store_008,33,106
2026-02-01,Store_009,37,86
2026-02-01,Store_010,26,61
2026-02-01,Store_011,45,40
2026-02-01,Store_012,49,163
2026-02-01,Store_013,40,113
2026-02-01,Store_014,53,109
2026-02-01,Store_015,68,79
2026-02-01,Store_016,44,65
2026-02-01,Store_017,48,157
2026-02-01,Store_018,58,126
2026-02-01,Store_019,42,140
2026-02-01,Store_020,27,90
2026-02-08,Store_001,25,141
2026-02-08,Store_002,52,36
2026-02-08,Store_003,62,120
2026-02-08,Store_004,25,86
2026-02-08,Store_005,64,113
2026-02-08,Store_006,35,111
2026-02-08,Store_007,25,116
2026-02-08,Store_008,33,75
2026-02-08,Store_009,45,138
2026-02-08,Store_010,52,142
2026-02-08,Store_011,64,125
2026-02-08,Store_012,37,181
2026-02-08,Store_013,47,123
2026-02-08,Store_014,35,208
2026-02-08,Store_015,42,106
2026-02-08,Store_016,36,110
2026-02-08,Store_017,65,91
2026-02-08,Store_018,57,97
2026-02-08,Store_019,54,114
2026-02-08,Store_020,72,119
