date,store_id,foot_traffic,transactions,net_sales,gross_profit,refund_amount,on_shelf_availability
2025-08-19,Store_020,236,52,3207.25,1816.38,46.78,0.856
2025-08-20,Store_001,587,105,6039.74,3344.87,61.39,0.923
2025-08-20,Store_002,424,103,4383.2,2360.87,28.39,0.917
2025-08-20,Store_003,603,138,6446.46,3669.46,90.93,0.873
2025-08-20,Store_004,416,124,6453.62,3109.65,75.77,0.901
2025-08-20,Store_005,347,65,4219.68,2254.45,31.06,0.911
2025-08-20,Store_006,527,87,6055.59,2715.43,100.49,0.924
2025-08-20,Store_007,547,125,9028.46,4491.8,117.51,0.943
2025-08-20,Store_008,655,148,6438.21,3127.46,94.85,0.933
2025-08-20,Store_009,624,177,7426.69,3403.24,69.89,0.894
2025-08-20,Store_010,518,163,11295.75,5256.03,118.49,0.919
2025-08-20,Store_011,638,89,5323.1,2949.69,37.95,0.904
2025-08-20,Store_012,571,139,7085.42,3726.63,69.31,0.922
2025-08-20,Store_013,536,100,6464.86,2946.13,111.24,0.951
2025-08-20,Store_014,245,60,2013.92,1118.34,15.92,0.919
2025-08-20,Store_015,752,167,7469.55,3568.82,126.6,0.937
2025-08-20,Store_016,531,124,6090.0,2799.87,119.55,0.931
2025-08-20,Store_017,713,145,8480.64,4265.21,76.02,0.969
2025-08-20,Store_018,513,148,9272.48,3941.85,117.08,0.894
2025-08-20,Store_019,349,98,5093.23,2259.08,61.88,0.937
2025-08-20,Store_020,630,151,7194.37,3465.81,115.44,0.961
2025-08-21,Store_001,337,88,5570.95,2665.97,28.55,0.938
2025-08-21,Store_002,599,185,10807.75,6132.35,129.73,0.889
2025-08-21,Store_003,505,140,7167.58,3414.67,116.31,0.888
2025-08-21,Store_004,396,75,3532.64,1815.8,58.27,0.914
2025-08-21,Store_005,300,51,2175.45,941.52,20.63,0.925
2025-08-21,Store_006,350,66,3814.48,1710.86,51.54,0.869
2025-08-21,Store_007,317,55,2911.03,1551.8,53.01,0.925
2025-08-21,Store_008,788,196,10131.9,4461.25,61.71,0.891
2025-08-21,Store_009,172,30,1912.01,1036.59,38.17,0.899
2025-08-21,Store_010,518,102,6354.57,3658.13,91.41,0.923
2025-08-21,Store_011,546,130,6727.14,3604.72,99.43,0.888
2025-08-21,Store_012,419,66,2038.89,1104.14,25.42,0.939
2025-08-21,Store_013,373,94,4600.02,2077.39,55.35,0.952
2025-08-21,Store_014,312,86,4104.65,1826.78,60.53,0.913
2025-08-21,Store_015,382,67,2900.18,1264.11,39.47,0.949
2025-08-21,Store_016,508,121,4460.8,2454.13,53.58,0.934
2025-08-21,Store_017,546,111,8767.5,4921.08,171.98,0.889
2025-08-21,Store_018,196,31,1256.37,667.36,12.55,0.853
2025-08-21,Store_019,600,141,7596.44,3456.51,87.48,0.965
2025-08-21,Store_020,578,103,7776.53,4248.41,43.28,0.857
2025-08-22,Store_001,517,107,4628.51,2278.83,60.13,0.907
2025-08-22,Store_002,474,87,4843.04,2755.51,74.48,0.99
2025-08-22,Store_003,973,185,8432.93,4865.18,166.31,0.914
2025-08-22,Store_004,567,137,8162.7,4668.04,144.97,0.911
2025-08-22,Store_005,406,94,5157.33,2947.02,60.6,0.909
2025-08-22,Store_006,433,79,5185.98,2365.88,53.69,0.893
2025-08-22,Store_007,157,32,1682.22,723.1,27.01,0.933
2025-08-22,Store_008,629,211,11733.52,5418.03,115.1,0.937
2025-08-22,Store_009,316,45,1754.26,900.19,22.46,0.932
2025-08-22,Store_010,625,153,7209.06,3301.97,73.5,0.919
2025-08-22,Store_011,871,209,10180.95,4417.93,53.18,0.943
2025-08-22,Store_012,300,81,2326.67,1130.38,13.57,0.99
2025-08-22,Store_013,570,136,8160.33,4071.51,119.08,0.857
2025-08-22,Store_014,428,70,4918.48,2645.25,86.37,0.876
2025-08-22,Store_015,263,54,2938.99,1237.1,50.08,0.936
2025-08-22,Store_016,508,63,4020.13,1984.96,38.71,0.945
2025-08-22,Store_017,529,161,8165.14,4527.2,138.57,0.947
2025-08-22,Store_018,476,66,4282.64,2438.44,84.02,0.935
2025-08-22,Store_019,305,81,3749.41,1952.27,43.16,0.87
2025-08-22,Store_020,584,89,4422.61,2115.36,33.83,0.941
2025-08-23,Store_001,80,25,1452.76,697.81,28.87,0.981
2025-08-23,Store_002,688,235,13378.12,7273.44,128.17,0.89
2025-08-23,Store_003,578,134,7756.02,3321.42,121.55,0.912
2025-08-23,Store_004,533,98,6000.24,3074.18,104.0,0.906
2025-08-23,Store_005,650,157,7176.81,3554.93,72.49,0.923
2025-08-23,Store_006,414,82,5962.63,2602.73,49.11,0.885
2025-08-23,Store_007,297,76,3501.18,1620.9,62.2,0.874
2025-08-23,Store_008,533,134,7423.53,3784.28,134.81,0.942
2025-08-23,Store_009,892,196,9471.87,4587.11,153.52,0.954
2025-08-23,Store_010,608,148,8787.48,4199.69,111.92,0.928
2025-08-23,Store_011,700,180,6769.65,3588.18,77.26,0.887
2025-08-23,Store_012,693,93,4441.72,2372.93,35.99,0.962
2025-08-23,Store_013,789,168,10056.59,4621.42,97.45,0.957
2025-08-23,Store_014,771,147,6394.73,2714.26,72.92,0.947
2025-08-23,Store_015,454,167,7879.85,4418.47,92.67,0.933
2025-08-23,Store_016,486,102,4858.62,2168.18,41.72,0.934
2025-08-23,Store_017,1061,237,13931.05,6886.38,123.77,0.873
2025-08-23,Store_018,704,168,8154.67,4377.78,62.4,0.885
2025-08-23,Store_019,80,18,715.7,312.3,9.87,0.91
2025-08-23,Store_020,1050,332,21521.15,9510.66,230.32,0.876
2025-08-24,Store_001,729,105,5716.69,3167.27,72.44,0.92
2025-08-24,Store_002,533,84,4816.3,2275.24,75.13,0.914
2025-08-24,Store_003,488,86,3299.16,1659.72,47.39,0.902
2025-08-24,Store_004,304,70,3831.92,2024.58,58.87,0.926
2025-08-24,Store_005,537,64,3269.86,1713.49,59.37,0.91
2025-08-24,Store_006,902,284,13279.4,5649.94,175.68,0.909
2025-08-24,Store_007,696,171,7795.16,4315.37,122.44,0.896
2025-08-24,Store_008,403,77,2541.3,1278.95,27.39,0.934
2025-08-24,Store_009,495,59,2443.32,1268.17,42.89,0.866
2025-08-24,Store_010,701,169,11351.01,5000.36,57.85,0.897
2025-08-24,Store_011,597,136,2815.32,1458.55,39.45,0.952
2025-08-24,Store_012,272,76,4171.66,2414.71,55.56,0.93
2025-08-24,Store_013,729,184,10838.67,5119.14,149.79,0.934
2025-08-24,Store_014,483,95,3332.91,1840.71,43.02,0.95
2025-08-24,Store_015,138,26,994.47,483.89,10.25,0.887
2025-08-24,Store_016,489,141,5382.84,2785.87,95.02,0.883
2025-08-24,Store_017,668,159,8270.62,4695.69,45.59,0.938
2025-08-24,Store_018,543,139,5650.07,2941.42,89.93,0.885
2025-08-24,Store_019,579,144,8112.06,4598.24,152.57,0.912
2025-08-24,Store_020,643,154,5472.84,2752.37,87.22,0.896
2025-08-25,Store_001,554,110,6870.37,3840.74,58.44,0.954
2025-08-25,Store_002,692,196,7270.12,3271.58,128.06,0.883
2025-08-25,Store_003,785,159,8857.39,4344.6,94.88,0.929
2025-08-25,Store_004,490,140,7359.65,3400.57,129.8,0.884
2025-08-25,Store_005,394,113,6122.79,3136.31,39.75,0.933
2025-08-25,Store_006,611,107,5263.27,2292.72,89.09,0.872
2025-08-25,Store_007,375,73,3543.61,1852.11,51.93,0.92
2025-08-25,Store_008,208,31,1947.1,1067.22,20.27,0.907
2025-08-25,Store_009,673,99,4670.57,2584.09,93.08,0.944
2025-08-25,Store_010,401,84,4359.22,2445.16,74.07,0.937
2025-08-25,Store_011,647,196,8553.51,4142.21,106.83,0.959
2025-08-25,Store_012,406,101,4164.82,1885.48,21.71,0.899
2025-08-25,Store_013,411,74,3768.67,1705.57,19.85,0.872
2025-08-25,Store_014,527,125,3045.14,1317.89,45.27,0.881
2025-08-25,Store_015,547,93,4777.26,2621.41,88.68,0.935
2025-08-25,Store_016,460,83,4266.39,2175.98,59.61,0.91
2025-08-25,Store_017,408,68,2451.78,1180.57,24.43,0.925
2025-08-25,Store_018,722,207,16025.86,8699.74,204.93,0.897
2025-08-25,Store_019,409,74,2828.52,1203.77,48.28,0.962
2025-08-25,Store_020,635,187,7660.63,3714.41,132.63,0.892
2025-08-26,Store_001,971,224,8946.57,4071.65,46.03,0.944
2025-08-26,Store_002,649,155,7121.0,4085.61,46.1,0.888
2025-08-26,Store_003,477,85,4315.63,2390.02,40.07,0.933
2025-08-26,Store_004,152,32,731.19,311.76,11.25,0.88
2025-08-26,Store_005,562,144,5043.88,2860.55,72.1,0.942
2025-08-26,Store_006,461,125,6103.05,3519.61,80.6,0.934
2025-08-26,Store_007,861,179,5841.39,2926.34,54.84,0.946
2025-08-26,Store_008,491,96,5057.59,2540.6,42.59,0.906
2025-08-26,Store_009,412,118,7640.24,4032.36,98.53,0.913
2025-08-26,Store_010,503,133,7382.37,3181.65,71.39,0.961
2025-08-26,Store_011,623,149,8128.03,4167.26,142.11,0.89
2025-08-26,Store_012,518,105,4941.38,2821.5,36.96,0.964
2025-08-26,Store_013,494,101,4774.53,2046.8,73.61,0.931
2025-08-26,Store_014,257,65,4248.41,1990.44,73.4,0.91
2025-08-26,Store_015,533,86,4364.61,1948.68,63.69,0.933
2025-08-26,Store_016,427,108,5187.85,2198.92,78.41,0.881
2025-08-26,Store_017,612,113,5635.5,2984.77,31.63,0.962
2025-08-26,Store_018,568,172,8156.57,4307.81,49.79,0.931
2025-08-26,Store_019,283,66,3274.2,1420.6,52.43,0.979
2025-08-26,Store_020,1153,165,5883.25,2796.63,99.73,0.926
2025-08-27,Store_001,624,158,7402.37,3526.73,50.14,0.87
2025-08-27,Store_002,351,48,1995.01,929.8,36.45,0.901
2025-08-27,Store_003,758,216,9828.06,4965.02,130.08,0.985
2025-08-27,Store_004,368,68,3124.94,1429.72,44.0,0.927
2025-08-27,Store_005,504,97,5420.27,2595.96,49.21,0.921
2025-08-27,Store_006,468,94,5648.09,3267.16,68.21,0.962
2025-08-27,Store_007,476,129,7619.36,3203.99,120.06,0.941
2025-08-27,Store_008,427,114,4876.03,2807.83,41.83,0.908
2025-08-27,Store_009,607,99,6327.23,2747.39,46.28,0.876
2025-08-27,Store_010,543,129,7427.22,3366.94,133.6,0.878
2025-08-27,Store_011,269,80,4385.91,2109.06,50.77,0.841
2025-08-27,Store_012,278,71,1278.0,679.64,14.72,0.99
2025-08-27,Store_013,948,165,7052.86,3174.04,61.65,0.927
2025-08-27,Store_014,630,141,6388.86,2745.85,51.14,0.882
2025-08-27,Store_015,573,141,7103.98,4043.16,53.31,0.921
2025-08-27,Store_016,576,116,6353.86,3668.09,101.63,0.877
2025-08-27,Store_017,538,141,5591.52,3044.36,98.51,0.867
2025-08-27,Store_018,849,170,9659.62,4413.79,92.44,0.889
2025-08-27,Store_019,603,185,9499.72,5163.69,53.51,0.906
2025-08-27,Store_020,453,129,7933.97,3804.82,85.82,0.88
2025-08-28,Store_001,537,131,7714.85,3705.22,78.01,0.924
2025-08-28,Store_002,837,201,11422.76,6573.92,113.18,0.906
2025-08-28,Store_003,539,158,11674.51,6473.02,185.77,0.988
2025-08-28,Store_004,450,64,4454.63,2012.62,38.24,0.921
2025-08-28,Store_005,505,125,4681.07,1982.9,44.15,0.941
2025-08-28,Store_006,493,90,5435.26,2567.52,73.07,0.916
2025-08-28,Store_007,469,129,5947.92,2626.44,103.47,0.924
2025-08-28,Store_008,646,185,8445.71,4828.02,52.2,0.955
2025-08-28,Store_009,701,115,5087.82,2338.52,70.07,0.921
2025-08-28,Store_010,842,227,16502.02,8869.89,255.92,0.909
2025-08-28,Store_011,611,77,4210.42,1811.05,56.89,0.918
2025-08-28,Store_012,640,159,6668.29,3263.74,53.75,0.88
2025-08-28,Store_013,453,105,5934.32,3062.85,115.53,0.94
2025-08-28,Store_014,580,134,8542.69,4750.79,87.25,0.931
2025-08-28,Store_015,463,134,7974.46,3960.17,118.37,0.903
2025-08-28,Store_016,536,115,7710.48,3312.91,76.8,0.902
2025-08-28,Store_017,502,116,3336.46,1509.77,59.27,0.89
2025-08-28,Store_018,613,175,7598.38,4373.57,102.18,0.933
2025-08-28,Store_019,626,107,5830.32,3216.42,32.8,0.902
2025-08-28,Store_020,664,156,4633.34,2109.62,77.72,0.868
2025-08-29,Store_001,716,176,9645.7,4096.85,192.63,0.931
2025-08-29,Store_002,377,84,4931.84,2719.71,70.72,0.923
2025-08-29,Store_003,287,81,3974.51,1942.66,30.76,0.935
2025-08-29,Store_004,464,108,4886.8,2096.25,31.7,0.898
2025-08-29,Store_005,518,160,8942.37,4545.88,82.06,0.919
2025-08-29,Store_006,347,78,2427.27,1280.87,28.72,0.851
2025-08-29,Store_007,441,125,8388.56,4482.45,152.07,0.923
2025-08-29,Store_008,467,161,7119.21,3731.58,80.56,0.937
2025-08-29,Store_009,883,203,12478.91,5386.03,120.24,0.954
2025-08-29,Store_010,257,51,3450.02,1529.41,51.56,0.936
2025-08-29,Store_011,457,119,7002.45,3981.63,38.68,0.937
2025-08-29,Store_012,738,126,9694.25,5356.82,139.58,0.937
2025-08-29,Store_013,343,87,4921.3,2296.87,29.07,0.937
2025-08-29,Store_014,558,124,6103.33,3019.99,38.87,0.906
2025-08-29,Store_015,673,101,4984.65,2776.5,44.97,0.892
2025-08-29,Store_016,502,108,5251.18,2508.99,31.66,0.938
2025-08-29,Store_017,204,42,2480.32,1048.63,17.65,0.924
2025-08-29,Store_018,779,107,6938.42,3380.3,76.48,0.965
2025-08-29,Store_019,668,121,7065.95,3800.62,44.89,0.923
2025-08-29,Store_020,513,142,6583.07,3014.97,46.51,0.929
2025-08-30,Store_001,541,117,9376.19,4032.65,160.17,0.908
2025-08-30,Store_002,550,123,6641.92,3813.84,68.79,0.892
2025-08-30,Store_003,662,123,5504.23,2997.3,87.8,0.945
2025-08-30,Store_004,275,58,4304.15,1909.84,43.13,0.967
2025-08-30,Store_005,739,123,8437.02,4749.5,159.82,0.927
2025-08-30,Store_006,878,198,12955.97,6457.04,150.27,0.911
2025-08-30,Store_007,957,309,19451.45,9194.87,291.49,0.917
2025-08-30,Store_008,1005,329,13172.41,7374.42,120.21,0.933
2025-08-30,Store_009,203,43,2355.03,1120.16,18.15,0.953
2025-08-30,Store_010,734,138,9157.77,4072.95,134.89,0.99
2025-08-30,Store_011,622,146,3421.5,1501.49,52.35,0.911
2025-08-30,Store_012,740,148,10077.84,5822.1,110.5,0.916
2025-08-30,Store_013,587,129,5729.63,2937.94,88.34,0.961
2025-08-30,Store_014,586,88,6158.32,2941.9,86.59,0.984
2025-08-30,Store_015,768,229,10316.34,4809.12,178.21,0.948
2025-08-30,Store_016,649,155,7663.89,3497.6,146.56,0.898
2025-08-30,Store_017,577,115,6049.86,3253.6,105.07,0.919
2025-08-30,Store_018,842,202,8698.25,4785.2,151.08,0.895
2025-08-30,Store_019,704,174,11765.26,6517.0,136.62,0.947
2025-08-30,Store_020,727,176,9195.9,3980.06,182.54,0.959
2025-08-31,Store_001,710,239,11070.8,5040.3,89.09,0.902
2025-08-31,Store_002,695,205,5480.07,2902.38,64.85,0.867
2025-08-31,Store_003,577,123,6827.96,3772.78,135.26,0.916
2025-08-31,Store_004,484,84,4653.86,2193.63,74.35,0.913
2025-08-31,Store_005,768,237,10877.14,5793.88,92.5,0.94
2025-08-31,Store_006,899,194,8069.49,3627.06,60.0,0.971
2025-08-31,Store_007,631,122,5365.74,3027.1,34.16,0.941
2025-08-31,Store_008,906,219,9320.57,4507.19,125.22,0.921
2025-08-31,Store_009,420,106,4559.69,2372.43,26.66,0.981
2025-08-31,Store_010,756,190,12125.68,6314.27,98.33,0.935
2025-08-31,Store_011,741,187,11819.0,6811.46,231.66,0.941
2025-08-31,Store_012,380,78,2707.57,1449.04,39.62,0.934
2025-08-31,Store_013,603,137,5558.77,2528.56,51.37,0.918
2025-08-31,Store_014,692,132,6292.52,2911.51,38.62,0.96
2025-08-31,Store_015,991,269,12490.44,5911.23,188.26,0.98
2025-08-31,Store_016,568,154,4871.27,2117.38,82.82,0.97
2025-08-31,Store_017,673,167,6657.48,3807.01,55.33,0.952
2025-08-31,Store_018,821,173,6898.24,3407.71,63.42,0.973
2025-08-31,Store_019,723,105,4418.16,2395.18,35.4,0.906
2025-08-31,Store_020,502,70,5114.34,2665.87,79.01,0.946
2025-09-01,Store_001,964,228,11312.52,5260.64,68.57,0.917
2025-09-01,Store_002,547,148,9552.05,4955.97,145.58,0.905
2025-09-01,Store_003,351,95,6367.01,3076.06,83.31,0.937
2025-09-01,Store_004,614,106,4661.04,2619.32,38.03,0.974
2025-09-01,Store_005,650,170,7183.93,3188.65,68.63,0.93
2025-09-01,Store_006,366,100,6135.13,2955.64,80.54,0.891
2025-09-01,Store_007,417,120,3067.49,1404.83,26.03,0.931
2025-09-01,Store_008,419,87,2514.75,1283.3,33.14,0.924
2025-09-01,Store_009,614,158,10715.02,4722.81,72.81,0.902
2025-09-01,Store_010,836,203,10706.24,4769.81,201.87,0.925
2025-09-01,Store_011,787,186,13005.41,5466.86,154.88,0.921
2025-09-01,Store_012,659,145,9651.06,5284.48,80.55,0.881
2025-09-01,Store_013,602,129,8663.29,3729.6,44.49,0.92
2025-09-01,Store_014,485,113,6794.14,3138.29,117.67,0.911
2025-09-01,Store_015,358,78,2974.29,1451.64,50.74,0.898
2025-09-01,Store_016,800,224,13748.77,7610.83,199.31,0.963
2025-09-01,Store_017,773,160,6269.04,2986.46,120.78,0.923
2025-09-01,Store_018,578,83,4025.61,1989.89,78.08,0.912
2025-09-01,Store_019,749,197,11938.53,5884.77,71.27,0.919
2025-09-01,Store_020,323,81,4644.14,2283.85,56.07,0.921
2025-09-02,Store_001,655,89,3266.59,1618.67,59.85,0.924
2025-09-02,Store_002,628,75,4591.84,2496.31,81.61,0.921
2025-09-02,Store_003,517,95,3903.04,1921.71,39.79,0.916
2025-09-02,Store_004,357,52,2872.35,1439.2,56.71,0.899
2025-09-02,Store_005,752,247,10210.13,5807.59,90.8,0.909
2025-09-02,Store_006,228,62,3837.24,2225.23,54.22,0.93
2025-09-02,Store_007,615,134,5326.53,2620.8,80.26,0.886
2025-09-02,Store_008,464,102,4685.68,2194.42,86.28,0.926
2025-09-02,Store_009,314,51,3165.06,1589.35,62.6,0.92
2025-09-02,Store_010,569,132,6189.02,3024.46,115.36,0.965
2025-09-02,Store_011,318,65,5685.65,3181.03,97.22,0.967
2025-09-02,Store_012,331,81,4360.74,2425.67,59.18,0.933
2025-09-02,Store_013,580,122,5473.55,2690.68,101.28,0.932
2025-09-02,Store_014,656,157,8474.0,3787.75,96.78,0.889
2025-09-02,Store_015,135,34,1794.56,912.51,18.07,0.884
2025-09-02,Store_016,494,128,4842.69,2178.68,50.65,0.924
2025-09-02,Store_017,837,243,13093.64,7192.36,223.2,0.93
2025-09-02,Store_018,240,56,3918.4,2235.7,22.81,0.954
2025-09-02,Store_019,459,113,6595.02,3407.83,101.79,0.899
2025-09-02,Store_020,396,105,4558.3,2510.06,51.09,0.902
2025-09-03,Store_001,218,42,1391.16,646.96,8.24,0.885
2025-09-03,Store_002,510,98,5657.46,3060.97,72.37,0.927
2025-09-03,Store_003,661,121,5665.89,2460.76,88.58,0.874
2025-09-03,Store_004,850,198,13942.5,6638.13,89.14,0.929
2025-09-03,Store_005,554,168,7362.37,3801.94,87.05,0.962
2025-09-03,Store_006,559,67,2732.83,1317.49,28.67,0.906
2025-09-03,Store_007,824,147,5338.2,2920.28,43.3,0.927
2025-09-03,Store_008,651,188,11139.83,5026.72,205.21,0.92
2025-09-03,Store_009,194,42,2603.49,1152.02,28.53,0.848
2025-09-03,Store_010,533,144,7526.7,3326.43,76.82,0.864
2025-09-03,Store_011,455,94,4773.87,2627.33,83.03,0.836
2025-09-03,Store_012,408,88,5492.53,3043.81,58.6,0.928
2025-09-03,Store_013,620,187,14317.97,6583.35,267.82,0.976
2025-09-03,Store_014,415,125,5162.64,2913.2,60.53,0.913
2025-09-03,Store_015,494,134,6956.77,3120.62,137.34,0.95
2025-09-03,Store_016,724,164,8942.64,4155.05,87.14,0.922
2025-09-03,Store_017,455,79,3825.79,1855.51,70.01,0.834
2025-09-03,Store_018,552,116,3657.4,1725.03,24.21,0.872
2025-09-03,Store_019,721,170,4492.03,2186.74,68.18,0.978
2025-09-03,Store_020,488,121,5690.6,2946.53,77.56,0.87
2025-09-04,Store_001,410,99,5671.73,2750.92,41.77,0.94
2025-09-04,Store_002,438,97,4110.87,2053.09,39.66,0.9
2025-09-04,Store_003,387,83,4235.11,2068.33,63.0,0.923
2025-09-04,Store_004,530,144,7175.83,4035.11,52.01,0.87
2025-09-04,Store_005,350,61,2442.24,1164.41,34.05,0.915
2025-09-04,Store_006,523,117,5810.89,3198.58,95.47,0.945
2025-09-04,Store_007,630,186,9942.46,4637.57,181.78,0.901
2025-09-04,Store_008,526,156,7118.97,3954.17,41.19,0.938
2025-09-04,Store_009,718,213,10907.78,6030.51,136.21,0.891
