effective_date,sku,old_price,new_price,reason
2025-09-29,SKU-10008,49.74,51.8,Margin expansion
2025-09-29,SKU-10006,51.16,55.1,Competitive match
2025-09-29,SKU-10002,145.64,148.92,Margin expansion
2025-09-29,SKU-10059,36.57,38.89,Competitive match
2025-09-29,SKU-10038,61.49,65.77,Cost increase
2025-09-29,SKU-10051,45.11,45.5,Seasonal adjustment
2025-10-06,SKU-10058,172.2,180.74,Seasonal adjustment
2025-10-06,SKU-10005,15.18,15.3,Seasonal adjustment
2025-10-06,SKU-10043,50.0,51.37,Margin expansion
2025-10-06,SKU-10032,77.59,73.99,Cost increase
2025-10-06,SKU-10031,141.01,146.32,Clearance
2025-10-06,SKU-10055,166.61,171.21,Competitive match
2025-10-06,SKU-10037,185.56,184.03,Margin expansion
2025-10-06,SKU-10018,144.49,149.64,Cost increase
2025-10-06,SKU-10012,79.48,84.97,Margin expansion
2025-10-06,SKU-10016,207.42,223.93,Seasonal adjustment
2025-10-06,SKU-10038,65.77,67.77,Competitive match
2025-10-06,SKU-10004,171.46,180.77,Seasonal adjustment
2025-10-06,SKU-10011,208.35,214.74,Margin expansion
2025-10-06,SKU-10021,144.53,148.2,Clearance
2025-10-06,SKU-10014,157.04,156.52,Clearance
2025-10-06,SKU-10060,202.18,193.52,Clearance
2025-10-06,SKU-10053,83.0,88.46,Seasonal adjustment
2025-10-06,SKU-10019,172.2,183.08,Margin expansion
2025-10-13,SKU-10060,193.52,205.5,Clearance
2025-10-13,SKU-10019,183.08,181.79,Cost increase
2025-10-13,SKU-10040,179.13,183.36,Clearance
2025-10-13,SKU-10015,183.62,188.55,Competitive match
2025-10-13,SKU-10026,130.32,130.58,Seasonal adjustment
2025-10-13,SKU-10028,31.58,33.01,Margin expansion
2025-10-13,SKU-10005,15.3,16.41,Seasonal adjustment
2025-10-13,SKU-10048,166.86,175.53,Seasonal adjustment
2025-10-13,SKU-10051,45.5,43.23,Seasonal adjustment
2025-10-13,SKU-10057,211.17,219.46,Cost increase
2025-10-13,SKU-10013,138.02,134.74,Margin expansion
2025-10-13,SKU-10056,18.19,19.18,Cost increase
2025-10-13,SKU-10011,214.74,212.46,Cost increase
2025-10-13,SKU-10047,140.69,148.65,Clearance
2025-10-13,SKU-10008,51.8,54.38,Competitive match
2025-10-13,SKU-10020,42.65,44.77,Cost increase
2025-10-13,SKU-10031,146.32,143.55,Clearance
2025-10-13,SKU-10059,38.89,38.22,Seasonal adjustment
2025-10-20,SKU-10005,16.41,16.98,Cost increase
2025-10-20,SKU-10051,43.23,45.98,Margin expansion
2025-10-20,SKU-10004,180.77,190.24,Clearance
2025-10-20,SKU-10028,33.01,35.24,Competitive match
2025-10-20,SKU-10001,8.79,8.43,Competitive match
2025-10-20,SKU-10003,132.01,133.63,Clearance
2025-10-20,SKU-10009,160.03,166.1,Cost increase
2025-10-20,SKU-10020,44.77,42.69,Competitive match
2025-10-20,SKU-10017,224.67,240.56,Margin expansion
2025-10-20,SKU-10030,27.56,28.4,Competitive match
2025-10-20,SKU-10014,156.52,166.74,Margin expansion
2025-10-20,SKU-10035,176.12,180.99,Competitive match
2025-10-20,SKU-10011,212.46,207.51,Seasonal adjustment
2025-10-20,SKU-10042,215.26,220.58,Clearance
2025-10-20,SKU-10049,236.64,225.31,Competitive match
2025-10-20,SKU-10024,75.95,75.5,Competitive match
2025-10-20,SKU-10016,223.93,231.31,Clearance
2025-10-20,SKU-10027,195.61,194.65,Seasonal adjustment
2025-10-27,SKU-10039,194.53,198.42,Competitive match
2025-10-27,SKU-10010,72.57,74.15,Competitive match
2025-10-27,SKU-10028,35.24,33.52,Clearance
2025-10-27,SKU-10050,168.82,179.02,Seasonal adjustment
2025-10-27,SKU-10012,84.97,81.0,Cost increase
2025-10-27,SKU-10019,181.79,174.61,Clearance
2025-10-27,SKU-10001,8.43,8.09,Competitive match
2025-10-27,SKU-10060,205.5,221.69,Clearance
2025-10-27,SKU-10040,183.36,187.05,Seasonal adjustment
2025-10-27,SKU-10026,130.58,133.1,Clearance
2025-10-27,SKU-10044,199.41,197.05,Cost increase
2025-10-27,SKU-10036,112.12,108.44,Clearance
2025-10-27,SKU-10032,73.99,72.84,Seasonal adjustment
2025-10-27,SKU-10016,231.31,236.18,Competitive match
2025-10-27,SKU-10055,171.21,181.05,Margin expansion
2025-10-27,SKU-10051,45.98,48.05,Seasonal adjustment
2025-10-27,SKU-10034,147.27,157.93,Margin expansion
2025-10-27,SKU-10006,55.1,55.59,Clearance
2025-11-03,SKU-10028,33.52,32.95,Cost increase
2025-11-03,SKU-10022,70.41,73.92,Cost increase
2025-11-03,SKU-10012,81.0,81.69,Margin expansion
2025-11-03,SKU-10007,230.87,229.25,Seasonal adjustment
2025-11-03,SKU-10040,187.05,188.41,Clearance
2025-11-03,SKU-10036,108.44,112.33,Competitive match
2025-11-03,SKU-10019,174.61,183.96,Competitive match
2025-11-03,SKU-10047,148.65,153.81,Cost increase
2025-11-03,SKU-10053,88.46,92.16,Seasonal adjustment
2025-11-03,SKU-10016,236.18,246.67,Margin expansion
2025-11-03,SKU-10052,163.7,157.88,Competitive match
2025-11-03,SKU-10043,51.37,54.31,Margin expansion
2025-11-03,SKU-10003,133.63,138.53,Cost increase
2025-11-03,SKU-10057,219.46,210.41,Competitive match
2025-11-03,SKU-10020,42.69,45.49,Seasonal adjustment
2025-11-03,SKU-10059,38.22,39.29,Cost increase
2025-11-03,SKU-10042,220.58,231.28,Seasonal adjustment
2025-11-03,SKU-10024,75.5,72.44,Competitive match
2025-11-10,SKU-10034,157.93,162.58,Competitive match
2025-11-10,SKU-10020,45.49,48.45,Cost increase
2025-11-10,SKU-10017,240.56,237.68,Cost increase
2025-11-10,SKU-10006,55.59,59.06,Margin expansion
2025-11-10,SKU-10031,143.55,148.81,Seasonal adjustment
2025-11-10,SKU-10035,180.99,172.66,Cost increase
2025-11-10,SKU-10041,185.1,183.16,Cost increase
2025-11-10,SKU-10023,18.57,18.25,Cost increase
2025-11-10,SKU-10032,72.84,70.08,Seasonal adjustment
2025-11-10,SKU-10055,181.05,182.42,Cost increase
2025-11-10,SKU-10028,32.95,31.4,Clearance
2025-11-10,SKU-10015,188.55,197.49,Cost increase
2025-11-10,SKU-10037,184.03,186.85,Competitive match
2025-11-10,SKU-10018,149.64,147.05,Clearance
2025-11-10,SKU-10044,197.05,198.53,Cost increase
2025-11-10,SKU-10001,8.09,7.93,Margin expansion
2025-11-10,SKU-10033,148.42,146.75,Margin expansion
2025-11-10,SKU-10005,16.98,18.23,Competitive match
2025-11-17,SKU-10014,166.74,179.48,Seasonal adjustment
2025-11-17,SKU-10009,166.1,173.58,Cost increase
2025-11-17,SKU-10052,157.88,156.54,Cost increase
2025-11-17,SKU-10048,175.53,181.48,Seasonal adjustment
2025-11-17,SKU-10045,155.94,167.36,Seasonal adjustment
2025-11-17,SKU-10037,186.85,198.43,Seasonal adjustment
2025-11-17,SKU-10012,81.69,79.67,Margin expansion
2025-11-17,SKU-10034,162.58,168.72,Clearance
2025-11-17,SKU-10011,207.51,200.38,Cost increase
2025-11-17,SKU-10047,153.81,165.94,Clearance
2025-11-17,SKU-10018,147.05,140.69,Competitive match
2025-11-17,SKU-10056,19.18,19.33,Seasonal adjustment
2025-11-17,SKU-10042,231.28,235.29,Margin expansion
2025-11-17,SKU-10010,74.15,74.21,Margin expansion
2025-11-17,SKU-10021,148.2,148.58,Margin expansion
2025-11-17,SKU-10051,48.05,45.65,Cost increase
2025-11-17,SKU-10025,59.51,57.88,Cost increase
2025-11-17,SKU-10036,112.33,109.63,Margin expansion
2025-11-24,SKU-10054,142.85,147.14,Seasonal adjustment
2025-11-24,SKU-10038,67.77,66.86,Seasonal adjustment
2025-11-24,SKU-10019,183.96,191.89,Seasonal adjustment
2025-11-24,SKU-10060,221.69,234.16,Competitive match
2025-11-24,SKU-10015,197.49,196.23,Competitive match
2025-11-24,SKU-10036,109.63,106.29,Competitive match
2025-11-24,SKU-10037,198.43,192.2,Margin expansion
2025-11-24,SKU-10057,210.41,211.36,Margin expansion
2025-11-24,SKU-10033,146.75,144.3,Seasonal adjustment
2025-11-24,SKU-10045,167.36,171.24,Margin expansion
2025-11-24,SKU-10007,229.25,234.13,Cost increase
2025-11-24,SKU-10056,19.33,18.53,Margin expansion
2025-11-24,SKU-10044,198.53,212.27,Clearance
2025-11-24,SKU-10046,109.59,105.42,Competitive match
2025-11-24,SKU-10040,188.41,184.7,Seasonal adjustment
2025-11-24,SKU-10027,194.65,188.5,Margin expansion
2025-11-24,SKU-10021,148.58,147.84,Cost increase
2025-11-24,SKU-10053,92.16,88.53,Cost increase
2025-12-01,SKU-10048,181.48,189.74,Seasonal adjustment
2025-12-01,SKU-10022,73.92,77.61,Clearance
2025-12-01,SKU-10008,54.38,57.89,Seasonal adjustment
2025-12-01,SKU-10059,39.29,37.53,Seasonal adjustment
2025-12-01,SKU-10024,72.44,77.78,Clearance
2025-12-01,SKU-10052,156.54,156.66,Clearance
2025-12-01,SKU-10015,196.23,208.91,Clearance
2025-12-01,SKU-10058,180.74,185.96,Seasonal adjustment
2025-12-01,SKU-10014,179.48,180.92,Cost increase
2025-12-01,SKU-10040,184.7,184.23,Competitive match
2025-12-01,SKU-10018,140.69,149.1,Cost increase
2025-12-01,SKU-10060,234.16,229.28,Clearance
2025-12-01,SKU-10025,57.88,59.79,Margin expansion
2025-12-01,SKU-10002,148.92,146.94,Competitive match
2025-12-01,SKU-10034,168.72,162.05,Seasonal adjustment
2025-12-01,SKU-10046,105.42,108.41,Clearance
2025-12-01,SKU-10056,18.53,19.47,Cost increase
2025-12-01,SKU-10012,79.67,85.66,Clearance
2025-12-08,SKU-10057,211.36,208.72,Margin expansion
2025-12-08,SKU-10030,28.4,29.34,Clearance
2025-12-08,SKU-10060,229.28,220.49,Seasonal adjustment
2025-12-08,SKU-10014,180.92,178.26,Cost increase
2025-12-08,SKU-10019,191.89,190.44,Cost increase
2025-12-08,SKU-10037,192.2,193.43,Margin expansion
2025-12-08,SKU-10017,237.68,233.11,Margin expansion
2025-12-08,SKU-10033,144.3,150.0,Seasonal adjustment
2025-12-08,SKU-10004,190.24,200.81,Competitive match
2025-12-08,SKU-10006,59.06,56.21,Seasonal adjustment
2025-12-08,SKU-10018,149.1,154.94,Cost increase
2025-12-08,SKU-10038,66.86,70.73,Cost increase
2025-12-08,SKU-10055,182.42,190.46,Seasonal adjustment
2025-12-08,SKU-10013,134.74,129.74,Cost increase
2025-12-08,SKU-10040,184.23,196.92,Competitive match
2025-12-08,SKU-10025,59.79,60.16,Margin expansion
2025-12-08,SKU-10005,18.23,17.48,Seasonal adjustment
2025-12-08,SKU-10053,88.53,89.35,Cost increase
2025-12-15,SKU-10057,208.72,199.85,Cost increase
2025-12-15,SKU-10001,7.93,7.61,Cost increase
2025-12-15,SKU-10023,18.25,17.63,Seasonal adjustment
2025-12-15,SKU-10047,165.94,164.67,Competitive match
2025-12-15,SKU-10045,171.24,166.09,Seasonal adjustment
2025-12-15,SKU-10055,190.46,182.85,Seasonal adjustment
2025-12-15,SKU-10030,29.34,29.19,Clearance
2025-12-15,SKU-10060,220.49,231.28,Competitive match
2025-12-15,SKU-10043,54.31,55.36,Cost increase
2025-12-15,SKU-10029,200.97,216.8,Seasonal adjustment
2025-12-15,SKU-10016,246.67,245.78,Competitive match
2025-12-15,SKU-10042,235.29,241.54,Clearance
2025-12-15,SKU-10059,37.53,37.29,Cost increase
2025-12-15,SKU-10010,74.21,77.56,Clearance
2025-12-15,SKU-10026,133.1,139.35,Cost increase
2025-12-15,SKU-10052,156.66,163.93,Competitive match
2025-12-15,SKU-10012,85.66,87.8,Cost increase
2025-12-15,SKU-10019,190.44,202.13,Cost increase
2025-12-22,SKU-10005,17.48,17.24,Clearance
2025-12-22,SKU-10040,196.92,188.39,Margin expansion
2025-12-22,SKU-10043,55.36,55.56,Cost increase
2025-12-22,SKU-10046,108.41,103.86,Margin expansion
2025-12-22,SKU-10013,129.74,137.34,Seasonal adjustment
2025-12-22,SKU-10023,17.63,17.85,Margin expansion
2025-12-22,SKU-10014,178.26,181.36,Cost increase
2025-12-22,SKU-10047,164.67,157.88,Seasonal adjustment
2025-12-22,SKU-10035,172.66,170.72,Clearance
2025-12-22,SKU-10050,179.02,192.98,Seasonal adjustment
2025-12-22,SKU-10015,208.91,225.4,Margin expansion
2025-12-22,SKU-10022,77.61,82.06,Competitive match
2025-12-22,SKU-10034,162.05,158.9,Cost increase
2025-12-22,SKU-10031,148.81,144.51,Cost increase
2025-12-22,SKU-10008,57.89,60.38,Margin expansion
2025-12-22,SKU-10042,241.54,243.66,Competitive match
2025-12-22,SKU-10033,150.0,145.56,Competitive match
2025-12-22,SKU-10019,202.13,216.71,Clearance
2025-12-29,SKU-10037,193.43,190.0,Margin expansion
2025-12-29,SKU-10012,87.8,85.8,Clearance
2025-12-29,SKU-10059,37.29,40.21,Clearance
2025-12-29,SKU-10029,216.8,208.44,Seasonal adjustment
2025-12-29,SKU-10014,181.36,174.46,Clearance
2025-12-29,SKU-10032,70.08,74.01,Competitive match
2025-12-29,SKU-10021,147.84,142.88,Cost increase
2025-12-29,SKU-10053,89.35,87.59,Competitive match
2025-12-29,SKU-10052,163.93,176.57,Competitive match
2025-12-29,SKU-10005,17.24,16.76,Competitive match
2025-12-29,SKU-10056,19.47,20.13,Seasonal adjustment
2025-12-29,SKU-10045,166.09,176.87,Clearance
2025-12-29,SKU-10050,192.98,197.76,Competitive match
2025-12-29,SKU-10055,182.85,175.31,Competitive match
2025-12-29,SKU-10035,170.72,180.96,Margin expansion
2025-12-29,SKU-10002,146.94,157.68,Cost increase
2025-12-29,SKU-10017,233.11,239.6,Competitive match
2025-12-29,SKU-10049,225.31,230.37,Competitive match
2026-01-05,SKU-10025,60.16,58.4,Competitive match
2026-01-05,SKU-10043,55.56,54.98,Competitive match
2026-01-05,SKU-10003,138.53,135.96,Cost increase
2026-01-05,SKU-10013,137.34,140.45,Margin expansion
2026-01-05,SKU-10051,45.65,47.05,Competitive match
2026-01-05,SKU-10060,231.28,231.28,Margin expansion
2026-01-05,SKU-10024,77.78,76.64,Margin expansion
2026-01-05,SKU-10028,31.4,31.72,Clearance
2026-01-05,SKU-10045,176.87,186.37,Margin expansion
2026-01-05,SKU-10010,77.56,74.6,Competitive match
2026-01-05,SKU-10046,103.86,101.26,Cost increase
2026-01-05,SKU-10042,243.66,255.44,Clearance
2026-01-05,SKU-10017,239.6,257.89,Clearance
2026-01-05,SKU-10011,200.38,210.25,Cost increase
2026-01-05,SKU-10020,48.45,51.82,Cost increase
2026-01-05,SKU-10038,70.73,69.84,Margin expansion
2026-01-05,SKU-10014,174.46,183.53,Margin expansion
2026-01-05,SKU-10039,198.42,199.08,Cost increase
2026-01-12,SKU-10030,29.19,31.45,Margin expansion
2026-01-12,SKU-10021,142.88,153.95,Competitive match
2026-01-12,SKU-10031,144.51,141.22,Competitive match
2026-01-12,SKU-10042,255.44,251.88,Seasonal adjustment
2026-01-12,SKU-10054,147.14,149.99,Margin expansion
2026-01-12,SKU-10059,40.21,38.55,Cost increase
2026-01-12,SKU-10022,82.06,82.21,Seasonal adjustment
2026-01-12,SKU-10056,20.13,21.39,Clearance
2026-01-12,SKU-10049,230.37,246.43,Competitive match
2026-01-12,SKU-10011,210.25,201.06,Margin expansion
2026-01-12,SKU-10028,31.72,30.49,Seasonal adjustment
2026-01-12,SKU-10003,135.96,130.49,Cost increase
2026-01-12,SKU-10045,186.37,197.38,Seasonal adjustment
2026-01-12,SKU-10038,69.84,72.72,Seasonal adjustment
2026-01-12,SKU-10051,47.05,49.47,Seasonal adjustment
2026-01-12,SKU-10052,176.57,175.86,Margin expansion
2026-01-12,SKU-10009,173.58,173.65,Clearance
2026-01-12,SKU-10015,225.4,214.85,Seasonal adjustment
2026-01-19,SKU-10028,30.49,30.92,Cost increase
2026-01-19,SKU-10017,257.89,276.94,Margin expansion
2026-01-19,SKU-10055,175.31,189.22,Cost increase
2026-01-19,SKU-10018,154.94,151.35,Cost increase
2026-01-19,SKU-10032,74.01,70.51,Cost increase
2026-01-19,SKU-10015,214.85,207.25,Margin expansion
2026-01-19,SKU-10044,212.27,222.13,Seasonal adjustment
2026-01-19,SKU-10054,149.99,151.38,Seasonal adjustment
2026-01-19,SKU-10012,85.8,87.12,Clearance
2026-01-19,SKU-10050,197.76,203.26,Seasonal adjustment
2026-01-19,SKU-10002,157.68,164.51,Competitive match
2026-01-19,SKU-10030,31.45,31.69,Margin expansion
2026-01-19,SKU-10056,21.39,22.49,Margin expansion
2026-01-19,SKU-10033,145.56,147.49,Clearance
2026-01-19,SKU-10021,153.95,165.62,Clearance
2026-01-19,SKU-10024,76.64,80.66,Clearance
2026-01-19,SKU-10042,251.88,260.56,Competitive match
2026-01-19,SKU-10029,208.44,215.5,Competitive match
2026-01-26,SKU-10012,87.12,88.12,Cost increase
2026-01-26,SKU-10038,72.72,69.99,Clearance
2026-01-26,SKU-10043,54.98,56.11,Seasonal adjustment
2026-01-26,SKU-10016,245.78,239.32,Competitive match
2026-01-26,SKU-10049,246.43,253.02,Cost increase
2026-01-26,SKU-10057,199.85,208.43,Clearance
2026-01-26,SKU-10052,175.86,171.86,Competitive match
2026-01-26,SKU-10014,183.53,193.53,Seasonal adjustment
2026-01-26,SKU-10045,197.38,207.53,Cost increase
2026-01-26,SKU-10032,70.51,71.81,Competitive match
2026-01-26,SKU-10021,165.62,176.22,Competitive match
2026-01-26,SKU-10003,130.49,134.01,Seasonal adjustment
2026-01-26,SKU-10028,30.92,32.73,Seasonal adjustment
2026-01-26,SKU-10047,157.88,159.66,Margin expansion
2026-01-26,SKU-10041,183.16,192.47,Margin expansion
2026-01-26,SKU-10015,207.25,199.91,Clearance
2026-01-26,SKU-10060,231.28,232.48,Competitive match
2026-01-26,SKU-10040,188.39,201.19,Clearance
2026-02-02,SKU-10019,216.71,213.57,Competitive match
2026-02-02,SKU-10056,22.49,23.92,Competitive match
2026-02-02,SKU-10037,190.0,196.1,Clearance
2026-02-02,SKU-10029,215.5,213.07,Clearance
2026-02-02,SKU-10010,74.6,74.91,Clearance
2026-02-02,SKU-10042,260.56,266.29,Clearance
2026-02-02,SKU-10036,106.29,114.39,Cost increase
2026-02-02,SKU-10050,203.26,198.99,Seasonal adjustment
2026-02-02,SKU-10002,164.51,172.29,Clearance
2026-02-02,SKU-10022,82.21,82.81,Seasonal adjustment
2026-02-02,SKU-10014,193.53,199.74,Margin expansion
2026-02-02,SKU-10032,71.81,68.86,Competitive match
2026-02-02,SKU-10048,189.74,185.48,Cost increase
2026-02-02,SKU-10047,159.66,156.87,Clearance
2026-02-02,SKU-10005,16.76,16.72,Cost increase
2026-02-02,SKU-10046,101.26,97.25,Clearance
2026-02-02,SKU-10059,38.55,37.53,Seasonal adjustment
2026-02-02,SKU-10051,49.47,48.69,Margin expansion
2026-02-09,SKU-10045,207.53,216.12,Seasonal adjustment
2026-02-09,SKU-10051,48.69,50.0,Margin expansion
2026-02-09,SKU-10039,199.08,197.35,Competitive match
2026-02-09,SKU-10044,222.13,218.22,Margin expansion
2026-02-09,SKU-10006,56.21,59.48,Cost increase
2026-02-09,SKU-10021,176.22,169.59,Clearance
2026-02-09,SKU-10054,151.38,159.09,Competitive match
2026-02-09,SKU-10001,7.61,7.39,Competitive match
2026-02-09,SKU-10009,173.65,169.47,Competitive match
2026-02-09,SKU-10027,188.5,199.32,Cost increase
2026-02-09,SKU-10002,172.29,179.42,Clearance
2026-02-09,SKU-10059,37.53,36.15,Clearance
2026-02-09,SKU-10012,88.12,94.19,Cost increase
2026-02-09,SKU-10019,213.57,207.21,Competitive match
2026-02-09,SKU-10008,60.38,59.01,Cost increase
2026-02-09,SKU-10015,199.91,203.29,Margin expansion
2026-02-09,SKU-10022,82.81,85.16,Margin expansion
2026-02-09,SKU-10052,171.86,166.6,Competitive match
