date,sku,units,unit_price,revenue,cogs,price_type,channel
2025-08-16,SKU-10059,14,27.62,386.68,217.84,Promo,Retail
2025-08-16,SKU-10029,14,198.51,2779.14,1573.88,Regular,Online
2025-08-16,SKU-10041,13,147.3,1914.9,1174.03,Promo,Wholesale
2025-08-16,SKU-10006,29,46.86,1358.94,600.88,Promo,Online
2025-08-16,SKU-10017,22,202.83,4462.26,1882.32,Regular,Wholesale
2025-08-16,SKU-10030,25,27.46,686.5,313.0,Regular,Wholesale
2025-08-16,SKU-10001,10,9.39,93.9,29.5,Regular,Online
2025-08-16,SKU-10052,17,163.1,2772.7,983.28,Regular,Online
2025-08-16,SKU-10021,14,108.88,1524.32,771.4,Promo,Wholesale
2025-08-16,SKU-10060,8,195.37,1562.96,527.92,Regular,Online
2025-08-16,SKU-10046,10,100.21,1002.1,546.8,Regular,Wholesale
2025-08-16,SKU-10015,27,172.65,4661.55,1614.06,Regular,Retail
2025-08-16,SKU-10053,33,72.86,2404.38,1245.09,Regular,Retail
2025-08-16,SKU-10027,11,156.0,1716.0,693.33,Promo,Retail
2025-08-16,SKU-10044,13,188.45,2449.85,1406.08,Regular,Retail
2025-08-16,SKU-10049,17,235.69,4006.73,1608.37,Regular,Retail
2025-08-16,SKU-10045,15,124.98,1874.7,1373.55,Promo,Wholesale
2025-08-16,SKU-10037,15,168.1,2521.5,1377.0,Promo,Online
2025-08-16,SKU-10035,20,183.45,3669.0,1843.2,Regular,Online
2025-08-16,SKU-10022,20,64.1,1282.0,550.0,Regular,Retail
2025-08-16,SKU-10008,12,49.86,598.32,278.04,Regular,Retail
2025-08-16,SKU-10056,11,15.03,165.33,86.02,Promo,Online
2025-08-16,SKU-10050,4,150.18,600.72,339.8,Regular,Online
2025-08-16,SKU-10055,21,149.4,3137.4,1564.29,Regular,Online
2025-08-16,SKU-10020,27,42.96,1159.92,487.08,Regular,Retail
2025-08-16,SKU-10016,26,169.35,4403.1,2301.52,Regular,Wholesale
2025-08-16,SKU-10031,6,122.17,733.02,374.58,Regular,Wholesale
2025-08-16,SKU-10033,7,134.62,942.34,511.84,Regular,Retail
2025-08-16,SKU-10023,13,15.27,198.51,101.92,Promo,Wholesale
2025-08-16,SKU-10026,30,112.89,3386.7,1967.4,Regular,Online
2025-08-16,SKU-10032,15,73.55,1103.25,509.7,Regular,Retail
2025-08-16,SKU-10043,18,44.61,802.98,437.76,Regular,Online
2025-08-16,SKU-10042,13,191.07,2483.91,1213.68,Promo,Online
2025-08-16,SKU-10038,26,61.92,1609.92,980.46,Regular,Wholesale
2025-08-16,SKU-10047,16,145.46,2327.36,932.64,Regular,Wholesale
2025-08-16,SKU-10003,25,126.07,3151.75,1426.5,Regular,Online
2025-08-16,SKU-10048,20,137.82,2756.4,1068.6,Promo,Wholesale
2025-08-16,SKU-10024,18,76.83,1382.94,462.6,Regular,Wholesale
2025-08-16,SKU-10028,23,31.32,720.36,278.53,Regular,Retail
2025-08-16,SKU-10054,31,141.67,4391.77,1713.37,Regular,Wholesale
2025-08-16,SKU-10025,16,48.99,783.84,292.64,Regular,Retail
2025-08-16,SKU-10057,13,175.89,2286.57,1681.16,Promo,Retail
2025-08-17,SKU-10035,20,188.69,3773.8,1843.2,Regular,Online
2025-08-17,SKU-10011,35,218.87,7660.45,3179.75,Regular,Wholesale
2025-08-17,SKU-10005,10,16.05,160.5,65.1,Regular,Wholesale
2025-08-17,SKU-10009,23,136.67,3143.41,1264.54,Regular,Wholesale
2025-08-17,SKU-10025,9,52.09,468.81,164.61,Regular,Retail
2025-08-17,SKU-10014,6,149.26,895.56,511.56,Regular,Online
2025-08-17,SKU-10019,21,162.05,3403.05,1552.95,Regular,Wholesale
2025-08-17,SKU-10047,21,146.27,3071.67,1224.09,Regular,Retail
2025-08-17,SKU-10055,20,156.67,3133.4,1489.8,Regular,Wholesale
2025-08-17,SKU-10023,39,16.19,631.41,305.76,Regular,Wholesale
2025-08-17,SKU-10002,22,140.05,3081.1,1732.06,Regular,Online
2025-08-17,SKU-10039,12,178.81,2145.72,1401.72,Promo,Wholesale
2025-08-17,SKU-10040,18,169.88,3057.84,1740.06,Regular,Wholesale
2025-08-17,SKU-10051,17,44.68,759.56,242.42,Regular,Wholesale
2025-08-17,SKU-10027,24,182.69,4384.56,1512.72,Regular,Wholesale
2025-08-17,SKU-10059,27,34.37,927.99,420.12,Regular,Online
2025-08-17,SKU-10037,31,191.46,5935.26,2845.8,Regular,Online
2025-08-17,SKU-10026,31,116.95,3625.45,2032.98,Regular,Online
2025-08-17,SKU-10018,22,135.11,2972.42,1219.68,Regular,Retail
2025-08-17,SKU-10030,19,27.35,519.65,237.88,Regular,Online
2025-08-17,SKU-10008,26,39.59,1029.34,602.42,Promo,Wholesale
2025-08-17,SKU-10033,16,137.48,2199.68,1169.92,Regular,Retail
2025-08-17,SKU-10038,14,58.29,816.06,527.94,Regular,Retail
2025-08-17,SKU-10007,17,217.12,3691.04,1539.86,Regular,Retail
2025-08-17,SKU-10042,27,219.86,5936.22,2520.72,Regular,Online
2025-08-17,SKU-10060,8,153.25,1226.0,527.92,Promo,Retail
2025-08-17,SKU-10050,11,148.69,1635.59,934.45,Regular,Online
2025-08-17,SKU-10052,20,157.75,3155.0,1156.8,Regular,Online
2025-08-17,SKU-10015,21,169.05,3550.05,1255.38,Regular,Wholesale
2025-08-17,SKU-10044,15,150.67,2260.05,1622.4,Promo,Retail
2025-08-17,SKU-10016,12,174.08,2088.96,1062.24,Regular,Wholesale
2025-08-17,SKU-10048,8,154.55,1236.4,427.44,Regular,Retail
2025-08-17,SKU-10034,16,138.81,2220.96,1248.16,Regular,Online
2025-08-17,SKU-10024,7,80.63,564.41,179.9,Regular,Online
2025-08-17,SKU-10001,12,9.21,110.52,35.4,Regular,Online
2025-08-17,SKU-10021,11,137.58,1513.38,606.1,Regular,Wholesale
2025-08-17,SKU-10045,31,158.98,4928.38,2838.67,Regular,Retail
2025-08-17,SKU-10036,24,95.86,2300.64,1296.72,Regular,Retail
2025-08-17,SKU-10012,26,75.57,1964.82,728.52,Regular,Retail
2025-08-17,SKU-10057,33,179.74,5931.42,4267.56,Promo,Online
2025-08-17,SKU-10043,26,37.81,983.06,632.32,Promo,Online
2025-08-17,SKU-10006,22,52.73,1160.06,455.84,Regular,Wholesale
2025-08-17,SKU-10053,17,76.54,1301.18,641.41,Regular,Online
2025-08-17,SKU-10029,15,186.03,2790.45,1686.3,Regular,Online
2025-08-17,SKU-10003,11,133.97,1473.67,627.66,Regular,Online
2025-08-18,SKU-10057,19,229.64,4363.16,2457.08,Regular,Retail
2025-08-18,SKU-10017,7,203.68,1425.76,598.92,Regular,Wholesale
2025-08-18,SKU-10005,23,14.8,340.4,149.73,Regular,Wholesale
2025-08-18,SKU-10011,24,211.27,5070.48,2180.4,Regular,Wholesale
2025-08-18,SKU-10045,18,152.59,2746.62,1648.26,Regular,Online
2025-08-18,SKU-10059,21,29.76,624.96,326.76,Promo,Retail
2025-08-18,SKU-10027,26,196.46,5107.96,1638.78,Regular,Retail
2025-08-18,SKU-10044,26,185.03,4810.78,2812.16,Regular,Online
2025-08-18,SKU-10053,6,76.73,460.38,226.38,Regular,Retail
2025-08-18,SKU-10010,16,69.9,1118.4,493.6,Regular,Online
2025-08-18,SKU-10058,18,170.42,3067.56,1350.36,Regular,Wholesale
2025-08-18,SKU-10025,7,50.6,354.2,128.03,Regular,Online
2025-08-18,SKU-10013,12,138.07,1656.84,734.76,Regular,Retail
2025-08-18,SKU-10018,17,139.66,2374.22,942.48,Regular,Online
2025-08-18,SKU-10050,29,154.31,4474.99,2463.55,Regular,Online
2025-08-18,SKU-10060,21,194.72,4089.12,1385.79,Regular,Wholesale
2025-08-18,SKU-10040,10,162.52,1625.2,966.7,Regular,Retail
2025-08-18,SKU-10046,18,103.29,1859.22,984.24,Regular,Retail
2025-08-18,SKU-10035,27,164.15,4432.05,2488.32,Promo,Wholesale
2025-08-18,SKU-10022,17,53.68,912.56,467.5,Promo,Wholesale
2025-08-18,SKU-10014,18,143.79,2588.22,1534.68,Regular,Wholesale
2025-08-18,SKU-10054,19,126.38,2401.22,1050.13,Promo,Retail
2025-08-18,SKU-10055,13,151.89,1974.57,968.37,Regular,Retail
2025-08-18,SKU-10056,20,14.88,297.6,156.4,Promo,Online
2025-08-18,SKU-10008,19,50.38,957.22,440.23,Regular,Online
2025-08-18,SKU-10019,22,174.3,3834.6,1626.9,Regular,Retail
2025-08-18,SKU-10030,6,26.95,161.7,75.12,Regular,Retail
2025-08-18,SKU-10029,27,182.48,4926.96,3035.34,Regular,Wholesale
2025-08-18,SKU-10012,20,70.6,1412.0,560.4,Promo,Retail
2025-08-18,SKU-10032,17,66.43,1129.31,577.66,Promo,Wholesale
2025-08-18,SKU-10001,25,8.91,222.75,73.75,Regular,Online
2025-08-18,SKU-10004,15,135.36,2030.4,1099.05,Promo,Online
2025-08-18,SKU-10028,13,28.7,373.1,157.43,Promo,Wholesale
2025-08-18,SKU-10048,7,129.16,904.12,374.01,Promo,Retail
2025-08-18,SKU-10049,29,228.63,6630.27,2743.69,Regular,Wholesale
2025-08-18,SKU-10023,8,17.35,138.8,62.72,Regular,Retail
2025-08-18,SKU-10042,17,223.27,3795.59,1587.12,Regular,Wholesale
2025-08-18,SKU-10047,23,120.67,2775.41,1340.67,Promo,Online
2025-08-18,SKU-10026,20,103.58,2071.6,1311.6,Promo,Online
2025-08-18,SKU-10036,28,92.57,2591.96,1512.84,Regular,Wholesale
2025-08-18,SKU-10002,14,146.14,2045.96,1102.22,Regular,Wholesale
2025-08-18,SKU-10016,13,183.66,2387.58,1150.76,Regular,Retail
2025-08-18,SKU-10007,18,198.39,3571.02,1630.44,Regular,Wholesale
2025-08-18,SKU-10038,11,58.66,645.26,414.81,Regular,Online
2025-08-18,SKU-10006,4,51.65,206.6,82.88,Regular,Wholesale
2025-08-19,SKU-10059,17,29.85,507.45,264.52,Promo,Retail
2025-08-19,SKU-10036,21,90.41,1898.61,1134.63,Regular,Wholesale
2025-08-19,SKU-10040,10,163.23,1632.3,966.7,Regular,Wholesale
2025-08-19,SKU-10047,22,145.9,3209.8,1282.38,Regular,Wholesale
2025-08-19,SKU-10002,17,116.43,1979.31,1338.41,Promo,Wholesale
2025-08-19,SKU-10032,9,72.85,655.65,305.82,Regular,Wholesale
2025-08-19,SKU-10035,18,183.98,3311.64,1658.88,Regular,Retail
2025-08-19,SKU-10042,21,216.0,4536.0,1960.56,Regular,Wholesale
2025-08-19,SKU-10031,29,126.64,3672.56,1810.47,Regular,Wholesale
2025-08-19,SKU-10030,18,22.76,409.68,225.36,Promo,Retail
2025-08-19,SKU-10023,7,17.17,120.19,54.88,Regular,Online
2025-08-19,SKU-10054,16,145.82,2333.12,884.32,Regular,Online
2025-08-19,SKU-10007,19,197.6,3754.4,1721.02,Regular,Wholesale
2025-08-19,SKU-10033,19,133.98,2545.62,1389.28,Regular,Wholesale
2025-08-19,SKU-10004,27,149.98,4049.46,1978.29,Regular,Online
2025-08-19,SKU-10060,10,192.01,1920.1,659.9,Regular,Wholesale
2025-08-19,SKU-10034,21,137.35,2884.35,1638.21,Regular,Wholesale
2025-08-19,SKU-10026,14,116.25,1627.5,918.12,Regular,Online
2025-08-19,SKU-10057,30,222.23,6666.9,3879.6,Regular,Wholesale
2025-08-19,SKU-10046,12,103.4,1240.8,656.16,Regular,Online
2025-08-19,SKU-10051,16,42.52,680.32,228.16,Regular,Online
2025-08-19,SKU-10039,20,190.44,3808.8,2336.2,Regular,Online
2025-08-19,SKU-10016,6,179.06,1074.36,531.12,Regular,Retail
2025-08-19,SKU-10056,8,17.41,139.28,62.56,Regular,Online
2025-08-19,SKU-10005,16,13.83,221.28,104.16,Promo,Online
2025-08-19,SKU-10006,26,52.34,1360.84,538.72,Regular,Retail
2025-08-19,SKU-10055,15,131.5,1972.5,1117.35,Promo,Retail
2025-08-19,SKU-10015,13,139.07,1807.91,777.14,Promo,Online
2025-08-19,SKU-10020,20,42.31,846.2,360.8,Regular,Retail
2025-08-19,SKU-10025,13,48.59,631.67,237.77,Regular,Online
2025-08-19,SKU-10001,14,9.45,132.3,41.3,Regular,Retail
2025-08-19,SKU-10009,12,150.69,1808.28,659.76,Regular,Wholesale
2025-08-19,SKU-10022,19,51.83,984.77,522.5,Promo,Retail
2025-08-19,SKU-10053,17,68.16,1158.72,641.41,Promo,Wholesale
2025-08-19,SKU-10044,24,189.06,4537.44,2595.84,Regular,Retail
2025-08-19,SKU-10012,12,79.7,956.4,336.24,Regular,Online
2025-08-19,SKU-10045,8,150.99,1207.92,732.56,Regular,Online
2025-08-19,SKU-10024,14,75.48,1056.72,359.8,Regular,Retail
2025-08-19,SKU-10014,4,122.14,488.56,341.04,Promo,Online
2025-08-19,SKU-10010,29,60.25,1747.25,894.65,Promo,Wholesale
2025-08-19,SKU-10027,21,179.26,3764.46,1323.63,Regular,Wholesale
2025-08-19,SKU-10013,30,136.41,4092.3,1836.9,Regular,Wholesale
2025-08-19,SKU-10038,23,63.76,1466.48,867.33,Regular,Retail
2025-08-19,SKU-10050,19,159.24,3025.56,1614.05,Regular,Retail
2025-08-20,SKU-10046,9,81.13,730.17,492.12,Promo,Retail
2025-08-20,SKU-10002,20,139.91,2798.2,1574.6,Regular,Online
2025-08-20,SKU-10049,26,190.94,4964.44,2459.86,Promo,Wholesale
2025-08-20,SKU-10044,8,192.07,1536.56,865.28,Regular,Retail
2025-08-20,SKU-10035,14,164.52,2303.28,1290.24,Promo,Retail
2025-08-20,SKU-10038,20,59.06,1181.2,754.2,Regular,Retail
2025-08-20,SKU-10015,31,167.3,5186.3,1853.18,Regular,Wholesale
2025-08-20,SKU-10017,25,208.92,5223.0,2139.0,Regular,Online
2025-08-20,SKU-10005,19,15.39,292.41,123.69,Regular,Retail
2025-08-20,SKU-10010,20,66.24,1324.8,617.0,Promo,Retail
2025-08-20,SKU-10027,40,183.22,7328.8,2521.2,Regular,Wholesale
2025-08-20,SKU-10054,7,124.84,873.88,386.89,Promo,Wholesale
2025-08-20,SKU-10051,18,41.39,745.02,256.68,Regular,Retail
2025-08-20,SKU-10047,19,137.41,2610.79,1107.51,Regular,Wholesale
2025-08-20,SKU-10029,20,197.52,3950.4,2248.4,Regular,Online
2025-08-20,SKU-10057,18,211.38,3804.84,2327.76,Regular,Retail
2025-08-20,SKU-10018,15,115.01,1725.15,831.6,Promo,Retail
2025-08-20,SKU-10003,16,129.52,2072.32,912.96,Regular,Retail
2025-08-20,SKU-10058,17,172.06,2925.02,1275.34,Regular,Wholesale
2025-08-20,SKU-10013,23,107.03,2461.69,1408.29,Promo,Retail
2025-08-20,SKU-10012,20,77.85,1557.0,560.4,Regular,Wholesale
2025-08-20,SKU-10028,12,30.05,360.6,145.32,Regular,Retail
2025-08-20,SKU-10040,23,159.02,3657.46,2223.41,Regular,Retail
2025-08-20,SKU-10021,24,136.71,3281.04,1322.4,Regular,Online
2025-08-20,SKU-10045,12,140.15,1681.8,1098.84,Promo,Retail
2025-08-20,SKU-10004,8,131.26,1050.08,586.16,Promo,Wholesale
2025-08-20,SKU-10007,29,216.19,6269.51,2626.82,Regular,Online
2025-08-20,SKU-10001,16,8.74,139.84,47.2,Regular,Wholesale
2025-08-20,SKU-10009,16,136.75,2188.0,879.68,Regular,Retail
2025-08-20,SKU-10050,18,137.97,2483.46,1529.1,Promo,Online
2025-08-20,SKU-10034,22,141.06,3103.32,1716.22,Regular,Retail
2025-08-20,SKU-10053,2,71.89,143.78,75.46,Regular,Retail
2025-08-20,SKU-10039,7,191.79,1342.53,817.67,Regular,Retail
2025-08-20,SKU-10033,18,139.76,2515.68,1316.16,Regular,Online
2025-08-20,SKU-10052,16,162.7,2603.2,925.44,Regular,Wholesale
2025-08-20,SKU-10025,28,51.11,1431.08,512.12,Regular,Online
2025-08-20,SKU-10060,18,195.57,3520.26,1187.82,Regular,Retail
2025-08-20,SKU-10026,13,115.74,1504.62,852.54,Regular,Online
2025-08-20,SKU-10020,31,40.95,1269.45,559.24,Regular,Online
2025-08-20,SKU-10032,13,73.88,960.44,441.74,Regular,Online
2025-08-20,SKU-10036,23,89.1,2049.3,1242.69,Regular,Retail
2025-08-20,SKU-10023,22,16.04,352.88,172.48,Regular,Retail
2025-08-20,SKU-10008,11,50.17,551.87,254.87,Regular,Online
2025-08-20,SKU-10030,26,25.5,663.0,325.52,Regular,Wholesale
2025-08-20,SKU-10022,21,62.24,1307.04,577.5,Regular,Online
2025-08-21,SKU-10027,11,153.2,1685.2,693.33,Promo,Wholesale
2025-08-21,SKU-10006,18,53.99,971.82,372.96,Regular,Online
2025-08-21,SKU-10055,20,148.48,2969.6,1489.8,Regular,Retail
2025-08-21,SKU-10060,13,193.03,2509.39,857.87,Regular,Wholesale
2025-08-21,SKU-10052,24,163.61,3926.64,1388.16,Regular,Online
2025-08-21,SKU-10038,20,52.09,1041.8,754.2,Promo,Retail
2025-08-21,SKU-10039,26,205.66,5347.16,3037.06,Regular,Wholesale
2025-08-21,SKU-10046,28,95.42,2671.76,1531.04,Regular,Wholesale
2025-08-21,SKU-10033,13,133.01,1729.13,950.56,Regular,Wholesale
2025-08-21,SKU-10043,36,43.68,1572.48,875.52,Regular,Retail
2025-08-21,SKU-10015,32,169.22,5415.04,1912.96,Regular,Wholesale
2025-08-21,SKU-10051,22,43.12,948.64,313.72,Regular,Wholesale
2025-08-21,SKU-10013,4,133.55,534.2,244.92,Regular,Retail
2025-08-21,SKU-10041,17,159.41,2709.97,1535.27,Promo,Retail
2025-08-21,SKU-10034,35,130.31,4560.85,2730.35,Regular,Wholesale
2025-08-21,SKU-10014,17,156.49,2660.33,1449.42,Regular,Online
2025-08-21,SKU-10021,28,109.29,3060.12,1542.8,Promo,Retail
2025-08-21,SKU-10024,25,73.82,1845.5,642.5,Regular,Wholesale
2025-08-21,SKU-10007,10,199.24,1992.4,905.8,Regular,Retail
2025-08-21,SKU-10032,28,68.22,1910.16,951.44,Promo,Online
2025-08-21,SKU-10045,17,149.84,2547.28,1556.69,Regular,Wholesale
2025-08-21,SKU-10017,12,211.71,2540.52,1026.72,Regular,Retail
2025-08-21,SKU-10019,30,164.87,4946.1,2218.5,Regular,Wholesale
2025-08-21,SKU-10008,4,50.63,202.52,92.68,Regular,Wholesale
2025-08-21,SKU-10037,26,186.38,4845.88,2386.8,Regular,Online
2025-08-21,SKU-10050,21,152.95,3211.95,1783.95,Regular,Retail
2025-08-21,SKU-10057,32,231.66,7413.12,4138.24,Regular,Online
2025-08-21,SKU-10036,18,92.36,1662.48,972.54,Regular,Online
2025-08-21,SKU-10020,15,40.61,609.15,270.6,Regular,Retail
2025-08-21,SKU-10016,25,179.15,4478.75,2213.0,Regular,Wholesale
2025-08-21,SKU-10002,13,141.17,1835.21,1023.49,Regular,Online
2025-08-21,SKU-10056,14,18.03,252.42,109.48,Regular,Wholesale
2025-08-21,SKU-10053,4,66.46,265.84,150.92,Promo,Online
2025-08-21,SKU-10047,11,128.98,1418.78,641.19,Promo,Online
2025-08-21,SKU-10054,20,126.37,2527.4,1105.4,Promo,Retail
2025-08-21,SKU-10022,13,63.45,824.85,357.5,Regular,Retail
2025-08-21,SKU-10001,24,7.32,175.68,70.8,Promo,Online
2025-08-21,SKU-10023,16,16.33,261.28,125.44,Regular,Wholesale
2025-08-21,SKU-10028,28,30.87,864.36,339.08,Regular,Wholesale
2025-08-21,SKU-10059,24,33.02,792.48,373.44,Regular,Online
2025-08-21,SKU-10030,11,25.58,281.38,137.72,Regular,Online
2025-08-21,SKU-10048,26,157.14,4085.64,1389.18,Regular,Wholesale
2025-08-21,SKU-10012,25,80.73,2018.25,700.5,Regular,Retail
2025-08-21,SKU-10005,5,16.01,80.05,32.55,Regular,Online
2025-08-22,SKU-10018,8,143.27,1146.16,443.52,Regular,Wholesale
2025-08-22,SKU-10019,5,166.05,830.25,369.75,Regular,Retail
2025-08-22,SKU-10003,24,127.06,3049.44,1369.44,Regular,Wholesale
2025-08-22,SKU-10006,17,51.53,876.01,352.24,Regular,Online
2025-08-22,SKU-10013,5,131.8,659.0,306.15,Regular,Wholesale
2025-08-22,SKU-10030,32,25.93,829.76,400.64,Regular,Retail
2025-08-22,SKU-10014,22,154.78,3405.16,1875.72,Regular,Retail
2025-08-22,SKU-10025,22,52.45,1153.9,402.38,Regular,Online
2025-08-22,SKU-10038,4,59.07,236.28,150.84,Regular,Online
2025-08-22,SKU-10016,27,182.64,4931.28,2390.04,Regular,Wholesale
2025-08-22,SKU-10004,31,148.78,4612.18,2271.37,Regular,Wholesale
2025-08-22,SKU-10035,25,185.36,4634.0,2304.0,Regular,Retail
2025-08-22,SKU-10020,17,43.63,741.71,306.68,Regular,Retail
2025-08-22,SKU-10051,9,45.49,409.41,128.34,Regular,Wholesale
2025-08-22,SKU-10049,22,220.66,4854.52,2081.42,Regular,Online
2025-08-22,SKU-10024,17,77.03,1309.51,436.9,Regular,Retail
2025-08-22,SKU-10059,16,36.1,577.6,248.96,Regular,Retail
2025-08-22,SKU-10045,16,155.2,2483.2,1465.12,Regular,Retail
2025-08-22,SKU-10037,18,171.75,3091.5,1652.4,Promo,Retail
2025-08-22,SKU-10031,8,104.44,835.52,499.44,Promo,Retail
2025-08-22,SKU-10027,22,180.7,3975.4,1386.66,Regular,Retail
2025-08-22,SKU-10046,29,101.18,2934.22,1585.72,Regular,Wholesale
2025-08-22,SKU-10052,25,158.98,3974.5,1446.0,Regular,Wholesale
2025-08-22,SKU-10050,15,150.46,2256.9,1274.25,Regular,Online
2025-08-22,SKU-10036,16,80.25,1284.0,864.48,Promo,Wholesale
2025-08-22,SKU-10001,22,8.87,195.14,64.9,Regular,Retail
2025-08-22,SKU-10022,15,63.4,951.0,412.5,Regular,Retail
2025-08-22,SKU-10043,27,43.88,1184.76,656.64,Regular,Wholesale
2025-08-22,SKU-10040,25,170.7,4267.5,2416.75,Regular,Retail
2025-08-22,SKU-10032,26,64.26,1670.76,883.48,Promo,Retail
2025-08-22,SKU-10009,12,144.98,1739.76,659.76,Regular,Retail
2025-08-22,SKU-10044,21,163.78,3439.38,2271.36,Promo,Wholesale
2025-08-22,SKU-10048,4,161.31,645.24,213.72,Regular,Online
2025-08-22,SKU-10015,20,176.71,3534.2,1195.6,Regular,Retail
2025-08-22,SKU-10007,18,203.35,3660.3,1630.44,Regular,Online
2025-08-22,SKU-10039,10,203.84,2038.4,1168.1,Regular,Wholesale
2025-08-22,SKU-10056,17,15.03,255.51,132.94,Promo,Retail
2025-08-22,SKU-10042,16,205.75,3292.0,1493.76,Regular,Retail
2025-08-22,SKU-10026,12,119.88,1438.56,786.96,Regular,Online
2025-08-22,SKU-10060,9,186.64,1679.76,593.91,Regular,Wholesale
2025-08-22,SKU-10041,7,180.24,1261.68,632.17,Regular,Online
2025-08-22,SKU-10054,22,151.64,3336.08,1215.94,Regular,Retail
2025-08-22,SKU-10023,17,17.44,296.48,133.28,Regular,Wholesale
2025-08-22,SKU-10034,20,120.46,2409.2,1560.2,Promo,Retail
2025-08-23,SKU-10025,27,44.99,1214.73,493.83,Promo,Wholesale
2025-08-23,SKU-10024,23,78.99,1816.77,591.1,Regular,Online
2025-08-23,SKU-10044,19,178.69,3395.11,2055.04,Regular,Online
2025-08-23,SKU-10018,24,141.42,3394.08,1330.56,Regular,Retail
2025-08-23,SKU-10031,21,122.13,2564.73,1311.03,Regular,Online
2025-08-23,SKU-10046,22,101.65,2236.3,1202.96,Regular,Online
2025-08-23,SKU-10003,11,122.66,1349.26,627.66,Regular,Online
2025-08-23,SKU-10016,27,169.77,4583.79,2390.04,Regular,Wholesale
2025-08-23,SKU-10036,9,93.84,844.56,486.27,Regular,Retail
2025-08-23,SKU-10048,9,162.98,1466.82,480.87,Regular,Retail
2025-08-23,SKU-10005,20,14.98,299.6,130.2,Regular,Wholesale
2025-08-23,SKU-10006,19,42.53,808.07,393.68,Promo,Retail
2025-08-23,SKU-10033,20,112.67,2253.4,1462.4,Promo,Online
2025-08-23,SKU-10002,7,136.31,954.17,551.11,Regular,Online
2025-08-23,SKU-10053,40,75.06,3002.4,1509.2,Regular,Wholesale
2025-08-23,SKU-10034,25,116.04,2901.0,1950.25,Promo,Retail
