date,channel,device,country,sessions,add_to_cart,checkout_start,purchases,cac_modeled
2025-08-25,Email,Mobile,AU,477,42,32,19,1.86
2025-08-25,Email,Desktop,AU,1233,142,91,56,0.44
2025-08-25,Direct,Mobile,DE,1172,107,80,37,0.48
2025-08-25,Direct,Desktop,CA,699,72,41,20,1.09
2025-08-26,Paid Search,Mobile,UK,1064,106,86,45,1.14
2025-08-26,Paid Search,Desktop,US,951,113,76,41,1.19
2025-08-26,Paid Social,Mobile,DE,909,75,59,34,1.25
2025-08-26,Paid Social,Desktop,AU,581,82,60,37,0.47
2025-08-26,Organic Search,Mobile,UK,895,75,47,27,0.63
2025-08-26,Organic Search,Desktop,AU,288,36,26,12,1.37
2025-08-26,Email,Mobile,US,924,115,84,40,0.76
2025-08-26,Email,Desktop,AU,1021,119,85,41,1.78
2025-08-26,Direct,Mobile,AU,602,49,36,25,0.91
2025-08-26,Direct,Desktop,AU,344,49,39,19,1.53
2025-08-27,Paid Search,Mobile,UK,886,64,52,24,1.32
2025-08-27,Paid Search,Desktop,DE,625,52,38,21,1.59
2025-08-27,Paid Social,Mobile,US,592,66,38,18,0.52
2025-08-27,Paid Social,Desktop,DE,516,42,28,13,1.53
2025-08-27,Organic Search,Mobile,DE,1182,142,87,50,0.85
2025-08-27,Organic Search,Desktop,US,512,62,49,31,0.4
2025-08-27,Email,Mobile,UK,684,82,66,32,1.89
2025-08-27,Email,Desktop,DE,938,119,87,40,0.94
2025-08-27,Direct,Mobile,DE,936,119,74,49,1.38
2025-08-27,Direct,Desktop,AU,786,110,69,41,1.75
2025-08-28,Paid Search,Mobile,DE,1008,129,82,58,0.53
2025-08-28,Paid Search,Desktop,AU,940,111,89,55,1.4
2025-08-28,Paid Social,Mobile,AU,882,89,60,28,0.92
2025-08-28,Paid Social,Desktop,UK,727,86,64,39,1.29
2025-08-28,Organic Search,Mobile,AU,669,68,52,24,1.35
2025-08-28,Organic Search,Desktop,AU,455,51,37,19,1.04
2025-08-28,Email,Mobile,US,1216,157,105,66,0.56
2025-08-28,Email,Desktop,US,958,80,55,32,0.42
2025-08-28,Direct,Mobile,AU,1136,81,66,31,0.6
2025-08-28,Direct,Desktop,DE,642,95,67,44,1.22
2025-08-29,Paid Search,Mobile,US,1066,104,61,41,1.21
2025-08-29,Paid Search,Desktop,UK,696,84,62,28,1.18
2025-08-29,Paid Social,Mobile,UK,701,85,48,31,1.78
2025-08-29,Paid Social,Desktop,DE,661,79,56,27,0.48
2025-08-29,Organic Search,Mobile,AU,1018,148,94,66,0.7
2025-08-29,Organic Search,Desktop,UK,632,61,39,27,0.85
2025-08-29,Email,Mobile,UK,548,65,45,30,1.15
2025-08-29,Email,Desktop,CA,304,45,28,15,1.54
2025-08-29,Direct,Mobile,AU,509,49,29,15,1.01
2025-08-29,Direct,Desktop,DE,514,43,25,15,1.38
2025-08-30,Paid Search,Mobile,DE,809,87,67,44,1.01
2025-08-30,Paid Search,Desktop,CA,555,48,36,18,1.86
2025-08-30,Paid Social,Mobile,US,994,114,75,52,0.57
2025-08-30,Paid Social,Desktop,US,1033,150,122,81,1.11
2025-08-30,Organic Search,Mobile,DE,919,127,77,41,0.69
2025-08-30,Organic Search,Desktop,DE,845,107,61,41,1.23
2025-08-30,Email,Mobile,CA,824,86,69,35,0.39
2025-08-30,Email,Desktop,AU,1031,135,90,51,0.57
2025-08-30,Direct,Mobile,CA,891,99,80,49,0.47
2025-08-30,Direct,Desktop,UK,847,126,88,47,1.49
2025-08-31,Paid Search,Mobile,CA,892,76,58,27,1.63
2025-08-31,Paid Search,Desktop,CA,972,145,101,47,0.95
2025-08-31,Paid Social,Mobile,US,996,133,74,52,0.44
2025-08-31,Paid Social,Desktop,US,705,76,45,27,1.17
2025-08-31,Organic Search,Mobile,DE,935,80,58,32,0.53
2025-08-31,Organic Search,Desktop,US,956,70,42,26,1.24
2025-08-31,Email,Mobile,UK,904,81,57,35,0.72
2025-08-31,Email,Desktop,US,677,87,55,30,0.65
2025-08-31,Direct,Mobile,US,1386,207,137,78,0.97
2025-08-31,Direct,Desktop,AU,600,48,28,18,0.41
2025-09-01,Paid Search,Mobile,DE,993,102,68,41,0.41
2025-09-01,Paid Search,Desktop,US,689,80,47,33,1.39
2025-09-01,Paid Social,Mobile,US,1376,172,120,83,1.63
2025-09-01,Paid Social,Desktop,UK,927,73,54,27,0.46
2025-09-01,Organic Search,Mobile,DE,867,110,89,42,1.56
2025-09-01,Organic Search,Desktop,DE,825,74,60,29,0.92
2025-09-01,Email,Mobile,US,1096,154,84,51,1.37
2025-09-01,Email,Desktop,CA,861,74,41,27,1.75
2025-09-01,Direct,Mobile,UK,848,91,50,28,1.66
2025-09-01,Direct,Desktop,CA,802,94,74,52,1.37
2025-09-02,Paid Search,Mobile,US,725,91,61,35,1.18
2025-09-02,Paid Search,Desktop,CA,561,79,46,21,1.76
2025-09-02,Paid Social,Mobile,CA,1030,122,91,52,0.53
2025-09-02,Paid Social,Desktop,DE,555,40,22,15,0.7
2025-09-02,Organic Search,Mobile,US,836,85,47,22,1.78
2025-09-02,Organic Search,Desktop,DE,922,73,57,30,1.4
2025-09-02,Email,Mobile,AU,1610,153,90,52,0.53
2025-09-02,Email,Desktop,DE,439,54,40,23,0.9
2025-09-02,Direct,Mobile,AU,430,38,27,15,1.93
2025-09-02,Direct,Desktop,DE,690,68,39,18,1.27
2025-09-03,Paid Search,Mobile,AU,1448,212,164,85,0.81
2025-09-03,Paid Search,Desktop,CA,774,61,40,25,1.44
2025-09-03,Paid Social,Mobile,CA,1105,83,50,25,1.11
2025-09-03,Paid Social,Desktop,UK,1070,104,85,45,1.6
2025-09-03,Organic Search,Mobile,CA,944,71,43,23,1.88
2025-09-03,Organic Search,Desktop,AU,642,95,62,42,0.82
2025-09-03,Email,Mobile,UK,494,38,24,17,0.95
2025-09-03,Email,Desktop,CA,606,69,39,20,0.94
2025-09-03,Direct,Mobile,AU,1083,76,42,20,0.54
2025-09-03,Direct,Desktop,CA,714,100,55,32,1.79
2025-09-04,Paid Search,Mobile,UK,581,57,45,29,1.43
2025-09-04,Paid Search,Desktop,AU,320,36,25,17,0.54
2025-09-04,Paid Social,Mobile,UK,1420,130,95,56,0.85
2025-09-04,Paid Social,Desktop,US,822,118,84,40,1.18
2025-09-04,Organic Search,Mobile,US,720,64,38,21,1.53
2025-09-04,Organic Search,Desktop,CA,409,56,39,20,0.42
2025-09-04,Email,Mobile,UK,503,40,30,16,0.38
2025-09-04,Email,Desktop,CA,1001,104,82,49,1.32
2025-09-04,Direct,Mobile,DE,1011,151,89,59,0.98
2025-09-04,Direct,Desktop,US,320,38,30,17,0.68
2025-09-05,Paid Search,Mobile,AU,679,71,57,37,1.57
2025-09-05,Paid Search,Desktop,UK,670,94,52,33,1.8
2025-09-05,Paid Social,Mobile,AU,427,37,23,15,0.64
2025-09-05,Paid Social,Desktop,AU,749,81,48,34,1.43
2025-09-05,Organic Search,Mobile,DE,980,90,62,42,0.91
2025-09-05,Organic Search,Desktop,DE,756,64,49,27,0.41
2025-09-05,Email,Mobile,UK,845,65,45,26,1.05
2025-09-05,Email,Desktop,DE,951,90,73,46,1.27
2025-09-05,Direct,Mobile,AU,618,91,62,43,1.63
2025-09-05,Direct,Desktop,CA,766,80,45,27,1.5
2025-09-06,Paid Search,Mobile,AU,931,108,64,29,1.0
2025-09-06,Paid Search,Desktop,AU,896,91,59,27,0.99
2025-09-06,Paid Social,Mobile,DE,492,41,30,15,0.43
2025-09-06,Paid Social,Desktop,AU,821,70,46,32,1.61
2025-09-06,Organic Search,Mobile,DE,1221,107,61,33,1.52
2025-09-06,Organic Search,Desktop,US,661,55,41,21,1.71
2025-09-06,Email,Mobile,US,1048,149,119,62,0.42
2025-09-06,Email,Desktop,UK,522,76,45,21,1.73
2025-09-06,Direct,Mobile,US,1318,94,62,32,1.36
2025-09-06,Direct,Desktop,AU,437,62,47,23,0.51
2025-09-07,Paid Search,Mobile,US,1185,94,59,27,0.89
2025-09-07,Paid Search,Desktop,AU,1134,92,53,29,1.49
2025-09-07,Paid Social,Mobile,US,894,70,54,33,0.48
2025-09-07,Paid Social,Desktop,CA,999,144,116,68,1.51
2025-09-07,Organic Search,Mobile,US,894,69,55,35,1.6
2025-09-07,Organic Search,Desktop,US,604,63,37,26,0.97
2025-09-07,Email,Mobile,DE,506,53,38,18,1.33
2025-09-07,Email,Desktop,US,379,30,18,10,1.32
2025-09-07,Direct,Mobile,UK,1124,89,55,25,1.5
2025-09-07,Direct,Desktop,UK,701,66,41,23,1.19
2025-09-08,Paid Search,Mobile,UK,962,108,76,44,1.49
2025-09-08,Paid Search,Desktop,DE,756,112,87,54,0.45
2025-09-08,Paid Social,Mobile,DE,799,117,90,60,1.94
2025-09-08,Paid Social,Desktop,US,844,67,36,19,1.32
2025-09-08,Organic Search,Mobile,CA,1309,185,125,69,0.43
2025-09-08,Organic Search,Desktop,AU,978,77,44,30,0.99
2025-09-08,Email,Mobile,DE,724,74,45,27,1.56
2025-09-08,Email,Desktop,AU,932,81,64,37,1.92
2025-09-08,Direct,Mobile,DE,1190,125,69,45,1.52
2025-09-08,Direct,Desktop,AU,811,78,44,22,1.29
2025-09-09,Paid Search,Mobile,UK,1159,145,115,66,0.55
2025-09-09,Paid Search,Desktop,DE,486,39,24,16,0.77
2025-09-09,Paid Social,Mobile,DE,999,123,70,40,0.99
2025-09-09,Paid Social,Desktop,CA,1092,127,87,55,1.81
2025-09-09,Organic Search,Mobile,DE,1115,90,70,42,1.29
2025-09-09,Organic Search,Desktop,US,840,76,52,33,1.88
2025-09-09,Email,Mobile,AU,1198,89,53,32,1.8
2025-09-09,Email,Desktop,US,594,58,33,19,0.65
2025-09-09,Direct,Mobile,DE,926,72,52,27,1.65
2025-09-09,Direct,Desktop,AU,920,119,68,36,1.67
2025-09-10,Paid Search,Mobile,AU,590,60,39,23,1.81
2025-09-10,Paid Search,Desktop,US,980,144,96,65,1.16
2025-09-10,Paid Social,Mobile,DE,1264,146,97,55,0.54
2025-09-10,Paid Social,Desktop,AU,573,64,51,29,1.25
2025-09-10,Organic Search,Mobile,CA,650,74,49,29,1.37
2025-09-10,Organic Search,Desktop,AU,249,29,17,8,1.01
2025-09-10,Email,Mobile,DE,1275,109,78,38,0.54
2025-09-10,Email,Desktop,CA,835,60,40,27,1.29
2025-09-10,Direct,Mobile,US,488,63,47,24,1.65
2025-09-10,Direct,Desktop,DE,1066,121,74,40,0.83
2025-09-11,Paid Search,Mobile,UK,388,35,19,11,1.4
2025-09-11,Paid Search,Desktop,US,862,92,71,42,1.1
2025-09-11,Paid Social,Mobile,CA,825,123,82,51,1.54
2025-09-11,Paid Social,Desktop,DE,710,86,49,24,0.93
2025-09-11,Organic Search,Mobile,DE,1030,103,82,51,0.86
2025-09-11,Organic Search,Desktop,UK,412,30,20,11,0.47
2025-09-11,Email,Mobile,UK,1091,148,84,59,0.4
2025-09-11,Email,Desktop,CA,921,101,56,38,1.28
2025-09-11,Direct,Mobile,AU,504,42,32,19,0.66
2025-09-11,Direct,Desktop,US,427,37,28,14,1.16
2025-09-12,Paid Search,Mobile,AU,1270,166,126,85,1.4
2025-09-12,Paid Search,Desktop,US,726,75,49,26,1.1
2025-09-12,Paid Social,Mobile,US,610,51,33,21,1.5
2025-09-12,Paid Social,Desktop,US,617,64,40,20,1.09
2025-09-12,Organic Search,Mobile,UK,743,73,54,25,0.8
2025-09-12,Organic Search,Desktop,DE,448,34,23,15,0.59
2025-09-12,Email,Mobile,CA,1390,113,63,31,1.64
2025-09-12,Email,Desktop,CA,750,87,62,30,0.86
2025-09-12,Direct,Mobile,US,1201,155,109,72,1.45
2025-09-12,Direct,Desktop,UK,667,66,51,26,0.49
2025-09-13,Paid Search,Mobile,US,1222,129,97,47,0.78
2025-09-13,Paid Search,Desktop,US,1048,108,87,61,1.91
2025-09-13,Paid Social,Mobile,CA,1072,121,77,54,1.72
2025-09-13,Paid Social,Desktop,US,930,114,73,42,1.65
2025-09-13,Organic Search,Mobile,AU,840,82,50,30,0.77
2025-09-13,Organic Search,Desktop,US,570,73,49,29,1.02
2025-09-13,Email,Mobile,DE,851,62,47,29,1.51
2025-09-13,Email,Desktop,AU,803,80,48,30,1.88
2025-09-13,Direct,Mobile,UK,995,96,76,49,1.07
2025-09-13,Direct,Desktop,UK,1141,149,103,64,1.75
2025-09-14,Paid Search,Mobile,UK,788,56,34,21,0.37
2025-09-14,Paid Search,Desktop,DE,661,47,35,23,0.81
2025-09-14,Paid Social,Mobile,DE,812,59,40,19,1.24
2025-09-14,Paid Social,Desktop,AU,482,65,40,26,0.76
2025-09-14,Organic Search,Mobile,US,526,73,52,24,0.88
2025-09-14,Organic Search,Desktop,DE,640,73,58,35,0.64
2025-09-14,Email,Mobile,UK,946,130,103,48,1.71
2025-09-14,Email,Desktop,US,627,77,61,28,1.62
2025-09-14,Direct,Mobile,DE,1081,121,70,45,0.67
2025-09-14,Direct,Desktop,DE,699,59,43,30,1.67
2025-09-15,Paid Search,Mobile,AU,1081,101,66,45,1.45
2025-09-15,Paid Search,Desktop,DE,807,88,67,32,0.64
2025-09-15,Paid Social,Mobile,CA,348,32,19,11,0.92
2025-09-15,Paid Social,Desktop,AU,903,114,82,41,1.25
2025-09-15,Organic Search,Mobile,UK,1390,134,108,76,0.85
2025-09-15,Organic Search,Desktop,US,775,84,49,31,0.61
2025-09-15,Email,Mobile,UK,760,65,40,18,0.64
2025-09-15,Email,Desktop,AU,558,82,46,31,0.78
2025-09-15,Direct,Mobile,DE,1129,137,111,76,1.76
2025-09-15,Direct,Desktop,DE,458,67,38,24,0.37
2025-09-16,Paid Search,Mobile,US,969,77,58,28,1.38
2025-09-16,Paid Search,Desktop,AU,1004,84,64,35,0.76
2025-09-16,Paid Social,Mobile,DE,690,52,40,27,0.38
2025-09-16,Paid Social,Desktop,UK,664,67,43,23,1.35
2025-09-16,Organic Search,Mobile,DE,856,119,76,42,0.88
2025-09-16,Organic Search,Desktop,UK,572,49,29,14,1.66
2025-09-16,Email,Mobile,UK,670,79,56,29,1.43
2025-09-16,Email,Desktop,CA,640,67,54,29,1.7
2025-09-16,Direct,Mobile,AU,551,50,28,14,0.39
2025-09-16,Direct,Desktop,CA,923,77,47,28,1.93
2025-09-17,Paid Search,Mobile,CA,791,56,36,16,1.86
2025-09-17,Paid Search,Desktop,AU,808,119,81,40,1.74
2025-09-17,Paid Social,Mobile,CA,472,40,30,14,1.62
2025-09-17,Paid Social,Desktop,DE,875,80,48,30,0.93
2025-09-17,Organic Search,Mobile,UK,956,121,83,45,0.85
2025-09-17,Organic Search,Desktop,UK,614,52,29,20,0.35
2025-09-17,Email,Mobile,UK,727,88,51,34,1.57
2025-09-17,Email,Desktop,AU,933,136,95,54,1.23
2025-09-17,Direct,Mobile,DE,855,74,53,32,1.9
2025-09-17,Direct,Desktop,CA,877,90,60,35,1.11
2025-09-18,Paid Search,Mobile,US,662,62,40,25,0.57
2025-09-18,Paid Search,Desktop,DE,612,59,41,28,1.75
2025-09-18,Paid Social,Mobile,US,670,56,31,19,1.93
2025-09-18,Paid Social,Desktop,AU,789,108,73,45,0.56
2025-09-18,Organic Search,Mobile,US,937,78,50,27,0.59
2025-09-18,Organic Search,Desktop,US,482,55,35,19,1.41
2025-09-18,Email,Mobile,US,1210,160,129,66,0.38
2025-09-18,Email,Desktop,CA,676,74,40,22,1.38
2025-09-18,Direct,Mobile,UK,736,66,40,22,1.16
2025-09-18,Direct,Desktop,UK,697,92,52,30,1.52
2025-09-19,Paid Search,Mobile,US,693,94,67,39,0.9
2025-09-19,Paid Search,Desktop,CA,753,108,78,46,1.7
2025-09-19,Paid Social,Mobile,US,1359,195,158,99,1.94
2025-09-19,Paid Social,Desktop,DE,636,59,39,18,1.55
2025-09-19,Organic Search,Mobile,US,402,36,29,17,0.5
2025-09-19,Organic Search,Desktop,UK,781,108,76,53,0.56
2025-09-19,Email,Mobile,US,1237,96,70,43,0.44
2025-09-19,Email,Desktop,AU,817,84,62,44,0.91
2025-09-19,Direct,Mobile,CA,959,100,74,50,1.79
2025-09-19,Direct,Desktop,US,363,50,35,19,1.75
2025-09-20,Paid Search,Mobile,UK,1016,97,65,35,1.64
2025-09-20,Paid Search,Desktop,UK,516,67,50,25,1.76
2025-09-20,Paid Social,Mobile,UK,614,62,36,17,1.5
2025-09-20,Paid Social,Desktop,UK,1019,117,66,39,0.7
2025-09-20,Organic Search,Mobile,AU,722,51,35,22,1.14
2025-09-20,Organic Search,Desktop,DE,281,24,16,11,1.31
2025-09-20,Email,Mobile,DE,927,95,76,36,1.13
2025-09-20,Email,Desktop,UK,675,76,59,28,1.39
2025-09-20,Direct,Mobile,UK,1353,133,81,56,0.55
2025-09-20,Direct,Desktop,DE,496,46,31,16,0.55
2025-09-21,Paid Search,Mobile,US,578,44,33,19,1.75
2025-09-21,Paid Search,Desktop,AU,934,79,54,38,0.6
2025-09-21,Paid Social,Mobile,AU,382,55,33,23,1.47
2025-09-21,Paid Social,Desktop,CA,575,50,40,25,1.22
2025-09-21,Organic Search,Mobile,DE,1301,109,84,51,1.76
2025-09-21,Organic Search,Desktop,US,823,122,72,51,1.84
2025-09-21,Email,Mobile,US,697,55,37,21,1.9
2025-09-21,Email,Desktop,AU,904,84,47,32,1.39
2025-09-21,Direct,Mobile,UK,651,95,73,44,0.83
2025-09-21,Direct,Desktop,UK,592,56,32,20,1.82
2025-09-22,Paid Search,Mobile,US,699,82,66,43,1.31
2025-09-22,Paid Search,Desktop,CA,362,50,30,17,1.03
2025-09-22,Paid Social,Mobile,UK,702,100,81,54,0.55
2025-09-22,Paid Social,Desktop,AU,1027,143,85,53,1.54
2025-09-22,Organic Search,Mobile,CA,1066,86,59,39,0.86
2025-09-22,Organic Search,Desktop,DE,852,108,84,54,0.37
2025-09-22,Email,Mobile,DE,1579,207,117,79,0.66
2025-09-22,Email,Desktop,UK,951,101,81,42,0.42
2025-09-22,Direct,Mobile,AU,766,67,53,35,1.77
2025-09-22,Direct,Desktop,US,536,65,45,29,1.25
2025-09-23,Paid Search,Mobile,UK,869,105,61,41,0.53
2025-09-23,Paid Search,Desktop,US,909,73,55,32,1.2
2025-09-23,Paid Social,Mobile,AU,788,66,45,28,0.95
2025-09-23,Paid Social,Desktop,CA,630,89,71,43,0.54
2025-09-23,Organic Search,Mobile,US,1032,103,60,31,1.04
2025-09-23,Organic Search,Desktop,AU,964,102,75,47,0.79
2025-09-23,Email,Mobile,CA,1241,175,110,57,1.48
2025-09-23,Email,Desktop,DE,232,26,20,11,1.85
2025-09-23,Direct,Mobile,CA,1244,129,85,59,1.11
2025-09-23,Direct,Desktop,DE,1061,142,108,51,1.18
2025-09-24,Paid Search,Mobile,CA,933,104,69,41,1.84
2025-09-24,Paid Search,Desktop,DE,633,65,38,19,0.37
2025-09-24,Paid Social,Mobile,AU,1054,116,65,43,0.73
2025-09-24,Paid Social,Desktop,AU,1116,85,48,32,1.61
2025-09-24,Organic Search,Mobile,CA,826,85,47,26,1.04
2025-09-24,Organic Search,Desktop,AU,437,46,28,13,0.95
2025-09-24,Email,Mobile,DE,1381,132,73,34,0.77
2025-09-24,Email,Desktop,US,765,101,77,45,1.43
2025-09-24,Direct,Mobile,UK,1288,144,91,51,0.56
2025-09-24,Direct,Desktop,UK,491,37,28,13,1.03
2025-09-25,Paid Search,Mobile,UK,694,65,46,28,1.87
2025-09-25,Paid Search,Desktop,AU,885,99,62,43,0.57
2025-09-25,Paid Social,Mobile,DE,484,34,18,11,0.65
2025-09-25,Paid Social,Desktop,US,964,121,74,36,1.56
2025-09-25,Organic Search,Mobile,US,1123,88,68,46,1.35
2025-09-25,Organic Search,Desktop,US,260,19,12,8,0.79
2025-09-25,Email,Mobile,US,1090,160,128,60,1.0
2025-09-25,Email,Desktop,CA,897,101,55,39,0.57
2025-09-25,Direct,Mobile,CA,1235,99,66,32,0.54
2025-09-25,Direct,Desktop,DE,184,25,17,11,1.39
2025-09-26,Paid Search,Mobile,CA,1098,145,118,55,1.87
2025-09-26,Paid Search,Desktop,AU,405,44,27,17,0.97
2025-09-26,Paid Social,Mobile,CA,1126,131,107,55,1.62
2025-09-26,Paid Social,Desktop,DE,745,84,58,30,1.78
2025-09-26,Organic Search,Mobile,US,675,87,58,29,1.48
2025-09-26,Organic Search,Desktop,AU,960,134,75,51,1.04
2025-09-26,Email,Mobile,UK,1009,114,69,41,1.14
2025-09-26,Email,Desktop,CA,587,82,56,39,1.2
2025-09-26,Direct,Mobile,US,665,64,38,25,1.29
2025-09-26,Direct,Desktop,CA,608,54,32,17,0.78
2025-09-27,Paid Search,Mobile,AU,624,73,44,30,0.57
2025-09-27,Paid Search,Desktop,AU,630,50,32,15,1.52
2025-09-27,Paid Social,Mobile,DE,1113,105,74,36,0.66
2025-09-27,Paid Social,Desktop,AU,608,73,58,36,1.87
