return_date,asin,sku,return_units,return_reason,market
2025-11-03,B0444234,SKU-0005,2,Damaged,CA
2025-11-21,B0934569,SKU-0014,1,Not as described,CA
2026-01-02,B0934569,SKU-0014,1,Damaged,CA
2025-11-03,B0241131,SKU-0013,1,Damaged,UK
2025-12-16,B0444234,SKU-0005,2,Damaged,DE
2025-08-29,B0916675,SKU-0015,1,Not as described,DE
2025-11-30,B0241131,SKU-0013,2,Damaged,CA
2025-10-10,B0300550,SKU-0008,1,Not as described,DE
2026-02-09,B0444234,SKU-0005,1,Not as described,UK
2025-10-18,B0474559,SKU-0006,1,Not as described,DE
2026-02-09,B0934569,SKU-0014,1,Defective,UK
2025-09-04,B0466098,SKU-0003,1,Damaged,UK
2025-10-05,B0673178,SKU-0001,1,Damaged,US
2025-08-23,B0444234,SKU-0005,1,Not as described,UK
2025-10-17,B0661462,SKU-0012,1,Defective,DE
2025-12-27,B0673178,SKU-0001,1,Damaged,CA
2025-08-31,B0494532,SKU-0002,1,Damaged,DE
2025-10-19,B0494532,SKU-0002,2,Not as described,UK
2025-11-01,B0916675,SKU-0015,2,Wrong item,US
2026-01-30,B0300550,SKU-0008,1,Not as described,US
2025-12-22,B0287544,SKU-0004,1,Not as described,US
2025-09-23,B0673178,SKU-0001,1,Defective,US
2025-08-17,B0474559,SKU-0006,1,Damaged,UK
2026-02-01,B0494532,SKU-0002,1,Not as described,DE
2026-01-06,B0474559,SKU-0006,1,Not as described,CA
2025-12-25,B0494532,SKU-0002,1,Not as described,US
2025-12-12,B0287544,SKU-0004,2,Not as described,DE
2025-11-19,B0673178,SKU-0001,2,Wrong item,DE
2025-11-04,B0673178,SKU-0001,1,Defective,DE
2025-12-03,B0300550,SKU-0008,1,Damaged,DE
2025-11-28,B0466098,SKU-0003,2,Wrong item,DE
2025-10-09,B0916675,SKU-0015,1,Defective,CA
2025-12-21,B0466098,SKU-0003,1,Wrong item,UK
2025-10-09,B0760123,SKU-0007,1,Wrong item,CA
2025-10-14,B0760123,SKU-0007,2,Defective,US
2025-08-28,B0760123,SKU-0007,2,Wrong item,DE
2025-09-28,B0494532,SKU-0002,1,Damaged,UK
2026-01-21,B0241131,SKU-0013,1,Defective,US
2025-12-14,B0565132,SKU-0009,2,Wrong item,UK
2025-09-26,B0287544,SKU-0004,1,Wrong item,CA
2026-02-07,B0565132,SKU-0009,2,Wrong item,UK
2025-12-20,B0494532,SKU-0002,2,Defective,UK
2025-12-01,B0287544,SKU-0004,1,Damaged,CA
2026-02-04,B0916675,SKU-0015,1,Defective,CA
2025-12-20,B0474559,SKU-0006,1,Damaged,CA
2026-01-29,B0138771,SKU-0010,1,Wrong item,UK
2025-12-17,B0760123,SKU-0007,1,Not as described,US
2025-09-27,B0916675,SKU-0015,1,Wrong item,US
2025-09-30,B0661462,SKU-0012,1,Not as described,US
2025-09-26,B0474559,SKU-0006,1,Wrong item,DE
2025-11-28,B0673178,SKU-0001,2,Damaged,DE
2025-08-29,B0565132,SKU-0009,1,Damaged,CA
2025-11-04,B0300550,SKU-0008,2,Wrong item,CA
2026-01-10,B0760123,SKU-0007,2,Not as described,US
2025-11-16,B0661462,SKU-0012,1,Defective,CA
2025-11-26,B0165870,SKU-0011,2,Wrong item,DE
2025-10-02,B0241131,SKU-0013,1,Defective,DE
2025-12-28,B0934569,SKU-0014,2,Not as described,CA
2026-02-03,B0916675,SKU-0015,1,Wrong item,US
2025-08-24,B0565132,SKU-0009,1,Damaged,CA
2025-11-02,B0138771,SKU-0010,1,Wrong item,US
2026-02-06,B0287544,SKU-0004,1,Defective,UK
2026-01-11,B0241131,SKU-0013,3,Wrong item,US
2026-02-01,B0673178,SKU-0001,2,Not as described,CA
2025-12-22,B0444234,SKU-0005,2,Wrong item,DE
2026-01-16,B0474559,SKU-0006,1,Not as described,DE
2026-01-02,B0760123,SKU-0007,1,Wrong item,UK
2025-09-17,B0444234,SKU-0005,1,Damaged,DE
2025-09-24,B0673178,SKU-0001,1,Not as described,US
2026-01-12,B0673178,SKU-0001,1,Defective,UK
2025-11-28,B0444234,SKU-0005,1,Wrong item,DE
2025-10-21,B0466098,SKU-0003,2,Defective,UK
2025-11-14,B0300550,SKU-0008,2,Damaged,DE
2025-11-17,B0466098,SKU-0003,2,Damaged,CA
2025-10-05,B0444234,SKU-0005,1,Wrong item,CA
2025-12-10,B0138771,SKU-0010,3,Defective,CA
2026-01-10,B0661462,SKU-0012,3,Defective,UK
2025-10-20,B0494532,SKU-0002,1,Damaged,US
2025-09-26,B0934569,SKU-0014,1,Not as described,CA
2025-12-01,B0673178,SKU-0001,1,Damaged,US
2025-09-15,B0494532,SKU-0002,2,Defective,US
2026-01-04,B0165870,SKU-0011,1,Not as described,CA
2025-12-11,B0444234,SKU-0005,2,Wrong item,UK
2025-08-27,B0466098,SKU-0003,2,Damaged,CA
2025-12-03,B0165870,SKU-0011,1,Wrong item,CA
2025-08-23,B0565132,SKU-0009,2,Defective,DE
2025-08-22,B0760123,SKU-0007,1,Damaged,DE
2025-11-08,B0466098,SKU-0003,2,Not as described,UK
2025-12-05,B0287544,SKU-0004,1,Not as described,CA
2025-09-30,B0673178,SKU-0001,1,Wrong item,US
2025-09-14,B0661462,SKU-0012,1,Wrong item,CA
2025-10-29,B0138771,SKU-0010,1,Not as described,US
2026-01-18,B0673178,SKU-0001,1,Wrong item,US
2025-11-11,B0760123,SKU-0007,2,Wrong item,CA
2026-01-23,B0916675,SKU-0015,3,Wrong item,CA
2025-12-25,B0474559,SKU-0006,1,Defective,UK
2025-08-29,B0474559,SKU-0006,2,Not as described,UK
2025-08-18,B0165870,SKU-0011,1,Wrong item,UK
2026-01-07,B0916675,SKU-0015,2,Damaged,CA
2025-11-13,B0673178,SKU-0001,2,Damaged,US
2025-09-08,B0287544,SKU-0004,1,Damaged,UK
2025-09-15,B0661462,SKU-0012,1,Damaged,CA
2025-08-30,B0287544,SKU-0004,2,Not as described,US
2025-11-17,B0474559,SKU-0006,3,Not as described,DE
2025-12-28,B0241131,SKU-0013,2,Wrong item,CA
2025-09-04,B0300550,SKU-0008,1,Not as described,DE
2025-10-31,B0474559,SKU-0006,2,Not as described,DE
2025-09-18,B0466098,SKU-0003,2,Damaged,DE
2025-09-30,B0165870,SKU-0011,2,Not as described,US
2025-11-01,B0466098,SKU-0003,1,Wrong item,DE
2025-12-18,B0916675,SKU-0015,2,Not as described,DE
2026-01-05,B0474559,SKU-0006,2,Defective,US
2026-01-26,B0138771,SKU-0010,2,Damaged,DE
2025-09-27,B0474559,SKU-0006,1,Damaged,DE
2025-12-24,B0916675,SKU-0015,1,Not as described,DE
2025-10-26,B0673178,SKU-0001,2,Defective,US
2025-12-23,B0466098,SKU-0003,2,Not as described,UK
2025-11-22,B0565132,SKU-0009,2,Wrong item,UK
2025-11-18,B0916675,SKU-0015,1,Wrong item,UK
2025-10-03,B0661462,SKU-0012,1,Defective,UK
2025-08-23,B0673178,SKU-0001,2,Damaged,US
2025-10-24,B0474559,SKU-0006,2,Wrong item,CA
2025-09-26,B0138771,SKU-0010,2,Defective,UK
2025-09-13,B0565132,SKU-0009,1,Defective,US
2026-01-15,B0494532,SKU-0002,3,Wrong item,DE
2025-08-24,B0165870,SKU-0011,1,Not as described,US
2025-11-10,B0241131,SKU-0013,2,Not as described,US
2025-11-02,B0916675,SKU-0015,2,Not as described,DE
2026-02-08,B0565132,SKU-0009,1,Wrong item,DE
2025-10-18,B0565132,SKU-0009,1,Wrong item,US
2025-12-02,B0287544,SKU-0004,1,Damaged,CA
2025-08-18,B0916675,SKU-0015,2,Wrong item,CA
2025-11-15,B0934569,SKU-0014,1,Defective,DE
2025-08-19,B0673178,SKU-0001,1,Damaged,UK
2025-08-17,B0760123,SKU-0007,1,Wrong item,UK
2025-11-03,B0673178,SKU-0001,1,Not as described,CA
2025-10-19,B0241131,SKU-0013,1,Wrong item,US
2026-01-07,B0474559,SKU-0006,1,Damaged,US
2025-12-09,B0241131,SKU-0013,1,Defective,CA
2026-01-23,B0300550,SKU-0008,1,Damaged,DE
2025-08-19,B0466098,SKU-0003,1,Damaged,DE
2025-12-06,B0165870,SKU-0011,2,Wrong item,CA
2026-02-08,B0934569,SKU-0014,1,Not as described,US
2025-08-16,B0760123,SKU-0007,1,Damaged,US
2025-12-07,B0165870,SKU-0011,2,Not as described,DE
2026-01-13,B0138771,SKU-0010,1,Damaged,CA
2025-11-28,B0165870,SKU-0011,1,Not as described,UK
2026-02-08,B0287544,SKU-0004,2,Defective,CA
2025-12-28,B0287544,SKU-0004,1,Wrong item,DE
2025-10-12,B0466098,SKU-0003,1,Damaged,DE
2025-11-08,B0241131,SKU-0013,1,Defective,UK
2025-08-22,B0934569,SKU-0014,2,Damaged,UK
2026-01-13,B0673178,SKU-0001,1,Not as described,CA
2025-10-03,B0165870,SKU-0011,2,Damaged,US
2025-09-23,B0661462,SKU-0012,1,Wrong item,UK
2026-01-28,B0760123,SKU-0007,2,Wrong item,CA
2026-01-27,B0287544,SKU-0004,3,Not as described,CA
2025-12-15,B0565132,SKU-0009,1,Damaged,CA
2025-08-19,B0165870,SKU-0011,1,Damaged,DE
2026-01-15,B0466098,SKU-0003,3,Wrong item,DE
2025-09-01,B0673178,SKU-0001,2,Defective,US
2025-11-09,B0138771,SKU-0010,1,Wrong item,US
2026-01-29,B0300550,SKU-0008,1,Not as described,UK
2025-11-24,B0474559,SKU-0006,1,Wrong item,UK
2025-11-20,B0466098,SKU-0003,2,Defective,US
2025-09-17,B0466098,SKU-0003,1,Damaged,DE
2025-10-25,B0165870,SKU-0011,1,Damaged,UK
2026-01-13,B0661462,SKU-0012,1,Defective,DE
2025-11-30,B0565132,SKU-0009,2,Wrong item,CA
2026-01-19,B0494532,SKU-0002,3,Defective,DE
2025-12-13,B0474559,SKU-0006,2,Not as described,US
2025-12-06,B0494532,SKU-0002,1,Damaged,CA
2025-12-21,B0474559,SKU-0006,2,Defective,UK
2026-01-10,B0934569,SKU-0014,1,Not as described,DE
2025-10-31,B0565132,SKU-0009,1,Wrong item,DE
2025-12-03,B0241131,SKU-0013,2,Not as described,UK
2025-09-20,B0673178,SKU-0001,1,Not as described,DE
2025-12-30,B0474559,SKU-0006,2,Not as described,DE
2025-10-15,B0287544,SKU-0004,2,Damaged,UK
2025-09-05,B0466098,SKU-0003,2,Damaged,US
2025-12-08,B0466098,SKU-0003,1,Wrong item,US
2025-10-11,B0760123,SKU-0007,1,Wrong item,CA
2025-09-26,B0300550,SKU-0008,1,Defective,UK
2025-11-09,B0466098,SKU-0003,1,Wrong item,CA
2026-01-21,B0444234,SKU-0005,1,Defective,US
2025-10-22,B0474559,SKU-0006,1,Wrong item,CA
2025-09-01,B0287544,SKU-0004,1,Damaged,CA
2025-09-13,B0444234,SKU-0005,1,Damaged,DE
2025-12-10,B0673178,SKU-0001,1,Not as described,UK
2025-09-07,B0241131,SKU-0013,1,Not as described,CA
2025-12-31,B0300550,SKU-0008,1,Not as described,DE
2025-11-27,B0241131,SKU-0013,1,Defective,UK
2025-08-23,B0165870,SKU-0011,2,Not as described,US
2025-08-20,B0474559,SKU-0006,2,Damaged,UK
2025-09-02,B0444234,SKU-0005,1,Damaged,CA
2025-12-18,B0474559,SKU-0006,2,Defective,US
2026-02-02,B0934569,SKU-0014,2,Damaged,DE
2025-11-26,B0138771,SKU-0010,2,Not as described,UK
2026-01-29,B0916675,SKU-0015,1,Damaged,CA
2025-09-05,B0241131,SKU-0013,1,Not as described,DE
2025-11-09,B0673178,SKU-0001,1,Wrong item,CA
2025-10-09,B0241131,SKU-0013,1,Wrong item,CA
2026-02-01,B0760123,SKU-0007,1,Damaged,CA
2025-09-05,B0138771,SKU-0010,1,Not as described,CA
2025-10-14,B0444234,SKU-0005,3,Not as described,DE
2026-01-17,B0444234,SKU-0005,1,Not as described,UK
2025-10-02,B0444234,SKU-0005,2,Not as described,CA
2025-12-31,B0466098,SKU-0003,1,Not as described,UK
2025-09-28,B0565132,SKU-0009,1,Damaged,CA
2026-01-26,B0673178,SKU-0001,2,Not as described,CA
2025-10-10,B0661462,SKU-0012,1,Damaged,DE
2025-12-26,B0661462,SKU-0012,3,Wrong item,CA
2026-01-26,B0565132,SKU-0009,2,Wrong item,DE
2026-01-04,B0300550,SKU-0008,2,Not as described,US
2025-09-21,B0138771,SKU-0010,1,Defective,CA
2025-09-20,B0300550,SKU-0008,1,Damaged,US
2025-11-20,B0138771,SKU-0010,2,Damaged,CA
2026-01-19,B0565132,SKU-0009,2,Not as described,UK
2025-09-09,B0916675,SKU-0015,2,Not as described,UK
2026-01-09,B0466098,SKU-0003,1,Damaged,DE
