date,asin,sku,impressions,clicks,ad_spend,ad_orders,ad_revenue,campaign_type,match_type
2025-08-21,B0673178,SKU-0001,2804,37,27.06,5,395.9,Sponsored Products,Broad
2025-08-21,B0494532,SKU-0002,786,11,8.12,1,24.96,Sponsored Brands,Exact
2025-08-21,B0466098,SKU-0003,866,13,11.5,1,17.53,Sponsored Brands,Phrase
2025-08-21,B0287544,SKU-0004,2151,21,9.32,2,223.63,Sponsored Products,Phrase
2025-08-21,B0444234,SKU-0005,1605,28,19.56,3,258.67,Sponsored Products,Phrase
2025-08-21,B0474559,SKU-0006,1814,31,15.37,1,103.24,Sponsored Products,Broad
2025-08-21,B0760123,SKU-0007,1796,32,27.84,4,260.68,Sponsored Products,Broad
2025-08-21,B0300550,SKU-0008,2099,28,25.3,2,60.86,Sponsored Brands,Exact
2025-08-21,B0565132,SKU-0009,2743,22,12.54,2,278.64,Sponsored Products,Exact
2025-08-21,B0138771,SKU-0010,1712,23,18.7,3,253.41,Sponsored Products,Phrase
2025-08-21,B0165870,SKU-0011,1196,23,12.9,3,108.95,Sponsored Products,Broad
2025-08-21,B0661462,SKU-0012,1108,11,6.25,1,47.8,Sponsored Products,Phrase
2025-08-21,B0241131,SKU-0013,912,17,13.19,1,118.01,Sponsored Brands,Phrase
2025-08-21,B0934569,SKU-0014,2183,32,16.44,2,178.81,Sponsored Brands,Phrase
2025-08-21,B0916675,SKU-0015,1428,24,11.22,2,79.57,Sponsored Products,Exact
2025-08-22,B0673178,SKU-0001,200,2,0.83,0,0.0,Sponsored Brands,Phrase
2025-08-22,B0494532,SKU-0002,2743,46,36.04,5,113.17,Sponsored Brands,Exact
2025-08-22,B0466098,SKU-0003,538,6,2.42,0,0.0,Sponsored Products,Broad
2025-08-22,B0287544,SKU-0004,251,2,0.99,0,0.0,Sponsored Brands,Exact
2025-08-22,B0444234,SKU-0005,967,9,7.67,1,96.52,Sponsored Brands,Phrase
2025-08-22,B0474559,SKU-0006,2099,27,16.47,1,101.64,Sponsored Brands,Phrase
2025-08-22,B0760123,SKU-0007,2905,49,20.17,6,382.83,Sponsored Brands,Broad
2025-08-22,B0300550,SKU-0008,2434,22,17.73,2,59.23,Sponsored Products,Broad
2025-08-22,B0565132,SKU-0009,2057,38,23.68,5,683.81,Sponsored Brands,Broad
2025-08-22,B0138771,SKU-0010,2000,37,24.85,5,389.88,Sponsored Products,Broad
2025-08-22,B0165870,SKU-0011,412,4,2.32,0,0.0,Sponsored Products,Broad
2025-08-22,B0661462,SKU-0012,1946,38,16.7,2,94.12,Sponsored Brands,Phrase
2025-08-22,B0241131,SKU-0013,1766,17,8.7,2,239.61,Sponsored Products,Broad
2025-08-22,B0934569,SKU-0014,2308,43,23.31,3,287.39,Sponsored Brands,Exact
2025-08-22,B0916675,SKU-0015,2598,42,35.42,6,248.46,Sponsored Products,Broad
2025-08-23,B0673178,SKU-0001,537,6,3.96,0,0.0,Sponsored Products,Exact
2025-08-23,B0494532,SKU-0002,1990,34,24.22,5,109.95,Sponsored Brands,Phrase
2025-08-23,B0466098,SKU-0003,2229,23,18.34,2,35.43,Sponsored Brands,Broad
2025-08-23,B0287544,SKU-0004,1552,16,13.99,1,114.23,Sponsored Products,Exact
2025-08-23,B0444234,SKU-0005,1746,28,10.74,4,337.9,Sponsored Products,Phrase
2025-08-23,B0474559,SKU-0006,2594,39,16.35,2,201.34,Sponsored Products,Phrase
2025-08-23,B0760123,SKU-0007,1706,18,15.5,2,128.08,Sponsored Brands,Phrase
2025-08-23,B0300550,SKU-0008,1742,29,16.33,4,114.37,Sponsored Products,Broad
2025-08-23,B0565132,SKU-0009,1627,30,20.18,4,575.96,Sponsored Brands,Exact
2025-08-23,B0138771,SKU-0010,1714,34,26.08,5,411.56,Sponsored Products,Exact
2025-08-23,B0165870,SKU-0011,2890,49,17.79,5,184.54,Sponsored Brands,Phrase
2025-08-23,B0661462,SKU-0012,2330,23,17.14,1,46.56,Sponsored Brands,Exact
2025-08-23,B0241131,SKU-0013,2823,47,44.29,7,925.08,Sponsored Products,Broad
2025-08-23,B0934569,SKU-0014,1621,31,14.69,2,183.96,Sponsored Brands,Phrase
2025-08-23,B0916675,SKU-0015,597,6,2.75,0,0.0,Sponsored Brands,Exact
2025-08-24,B0673178,SKU-0001,3244,61,36.85,8,587.29,Sponsored Brands,Broad
2025-08-24,B0494532,SKU-0002,1980,17,10.82,2,46.22,Sponsored Brands,Broad
2025-08-24,B0466098,SKU-0003,1911,35,15.01,3,50.73,Sponsored Products,Broad
2025-08-24,B0287544,SKU-0004,2081,38,22.91,3,320.29,Sponsored Brands,Exact
2025-08-24,B0444234,SKU-0005,2207,23,8.26,2,176.86,Sponsored Products,Exact
2025-08-24,B0474559,SKU-0006,547,5,4.7,0,0.0,Sponsored Brands,Broad
2025-08-24,B0760123,SKU-0007,2009,32,24.95,4,279.2,Sponsored Products,Broad
2025-08-24,B0300550,SKU-0008,1043,20,15.22,2,56.42,Sponsored Brands,Phrase
2025-08-24,B0565132,SKU-0009,1562,20,7.85,2,257.95,Sponsored Brands,Exact
2025-08-24,B0138771,SKU-0010,1704,16,7.86,2,157.22,Sponsored Brands,Phrase
2025-08-24,B0165870,SKU-0011,679,6,5.59,0,0.0,Sponsored Products,Broad
2025-08-24,B0661462,SKU-0012,2146,29,26.03,4,174.43,Sponsored Brands,Phrase
2025-08-24,B0241131,SKU-0013,2592,38,19.41,3,370.05,Sponsored Products,Phrase
2025-08-24,B0934569,SKU-0014,2177,31,23.74,2,191.77,Sponsored Brands,Broad
2025-08-24,B0916675,SKU-0015,1274,11,10.32,0,0.0,Sponsored Brands,Phrase
2025-08-25,B0673178,SKU-0001,1400,11,3.86,1,83.49,Sponsored Products,Broad
2025-08-25,B0494532,SKU-0002,2985,24,14.27,1,23.37,Sponsored Brands,Exact
2025-08-25,B0466098,SKU-0003,1601,23,11.02,1,17.37,Sponsored Products,Exact
2025-08-25,B0287544,SKU-0004,2771,33,24.45,2,222.52,Sponsored Brands,Phrase
2025-08-25,B0444234,SKU-0005,1203,12,4.57,1,88.36,Sponsored Brands,Exact
2025-08-25,B0474559,SKU-0006,1542,29,22.33,4,378.31,Sponsored Brands,Exact
2025-08-25,B0760123,SKU-0007,1634,22,9.82,1,68.15,Sponsored Products,Broad
2025-08-25,B0300550,SKU-0008,2662,52,27.79,2,58.73,Sponsored Products,Broad
2025-08-25,B0565132,SKU-0009,1876,29,21.41,4,505.03,Sponsored Brands,Exact
2025-08-25,B0138771,SKU-0010,1771,23,16.98,3,234.34,Sponsored Brands,Broad
2025-08-25,B0165870,SKU-0011,1236,12,7.86,1,37.7,Sponsored Products,Broad
2025-08-25,B0661462,SKU-0012,2691,47,31.02,3,136.73,Sponsored Brands,Phrase
2025-08-25,B0241131,SKU-0013,2392,22,18.46,2,269.01,Sponsored Products,Exact
2025-08-25,B0934569,SKU-0014,1362,14,9.54,0,0.0,Sponsored Products,Phrase
2025-08-25,B0916675,SKU-0015,1671,22,18.45,1,41.22,Sponsored Brands,Exact
2025-08-26,B0673178,SKU-0001,2863,39,24.09,4,336.32,Sponsored Products,Phrase
2025-08-26,B0494532,SKU-0002,1733,28,19.29,2,43.55,Sponsored Products,Exact
2025-08-26,B0466098,SKU-0003,1534,19,9.24,1,18.27,Sponsored Brands,Phrase
2025-08-26,B0287544,SKU-0004,1171,21,13.31,2,230.39,Sponsored Brands,Broad
2025-08-26,B0444234,SKU-0005,1961,19,15.24,1,89.49,Sponsored Products,Exact
2025-08-26,B0474559,SKU-0006,1111,21,18.23,2,206.59,Sponsored Products,Exact
2025-08-26,B0760123,SKU-0007,1798,29,19.67,2,134.29,Sponsored Brands,Exact
2025-08-26,B0300550,SKU-0008,2003,24,21.84,2,61.77,Sponsored Products,Exact
2025-08-26,B0565132,SKU-0009,3974,33,22.28,4,507.73,Sponsored Products,Phrase
2025-08-26,B0138771,SKU-0010,943,18,9.83,1,78.39,Sponsored Brands,Exact
2025-08-26,B0165870,SKU-0011,1918,17,14.24,0,0.0,Sponsored Brands,Phrase
2025-08-26,B0661462,SKU-0012,1325,24,20.64,2,87.96,Sponsored Brands,Broad
2025-08-26,B0241131,SKU-0013,3583,71,60.16,3,373.96,Sponsored Products,Phrase
2025-08-26,B0934569,SKU-0014,1177,17,12.83,1,103.06,Sponsored Brands,Exact
2025-08-26,B0916675,SKU-0015,1629,13,11.33,0,0.0,Sponsored Products,Broad
2025-08-27,B0673178,SKU-0001,1317,22,19.18,2,168.65,Sponsored Brands,Phrase
2025-08-27,B0494532,SKU-0002,1405,18,13.29,1,22.98,Sponsored Brands,Broad
2025-08-27,B0466098,SKU-0003,2474,25,10.22,3,51.59,Sponsored Products,Exact
2025-08-27,B0287544,SKU-0004,1628,27,14.56,1,106.18,Sponsored Brands,Broad
2025-08-27,B0444234,SKU-0005,1699,14,6.22,1,96.97,Sponsored Products,Phrase
2025-08-27,B0474559,SKU-0006,1432,20,14.32,1,92.38,Sponsored Brands,Phrase
2025-08-27,B0760123,SKU-0007,1364,19,7.86,2,131.03,Sponsored Products,Phrase
2025-08-27,B0300550,SKU-0008,3307,62,40.86,6,174.28,Sponsored Products,Phrase
2025-08-27,B0565132,SKU-0009,2599,47,35.65,5,629.31,Sponsored Products,Phrase
2025-08-27,B0138771,SKU-0010,1139,16,12.24,2,161.67,Sponsored Brands,Exact
2025-08-27,B0165870,SKU-0011,1228,14,6.55,0,0.0,Sponsored Products,Broad
2025-08-27,B0661462,SKU-0012,2409,41,35.86,4,182.04,Sponsored Brands,Exact
2025-08-27,B0241131,SKU-0013,1370,14,13.24,1,129.59,Sponsored Brands,Phrase
2025-08-27,B0934569,SKU-0014,1524,30,11.38,1,92.79,Sponsored Brands,Exact
2025-08-27,B0916675,SKU-0015,2070,37,19.58,3,130.15,Sponsored Brands,Broad
2025-08-28,B0673178,SKU-0001,2336,19,8.04,2,154.4,Sponsored Products,Exact
2025-08-28,B0494532,SKU-0002,1268,23,16.06,2,45.66,Sponsored Products,Exact
2025-08-28,B0466098,SKU-0003,2113,34,21.08,2,32.78,Sponsored Brands,Phrase
2025-08-28,B0287544,SKU-0004,909,9,6.0,1,114.26,Sponsored Products,Exact
2025-08-28,B0444234,SKU-0005,2682,34,32.03,1,90.97,Sponsored Products,Exact
2025-08-28,B0474559,SKU-0006,3053,34,31.73,3,279.79,Sponsored Brands,Broad
2025-08-28,B0760123,SKU-0007,515,4,3.5,0,0.0,Sponsored Brands,Exact
2025-08-28,B0300550,SKU-0008,1682,29,16.66,3,85.83,Sponsored Brands,Phrase
2025-08-28,B0565132,SKU-0009,909,8,6.5,0,0.0,Sponsored Brands,Phrase
2025-08-28,B0138771,SKU-0010,234,3,1.32,0,0.0,Sponsored Products,Exact
2025-08-28,B0165870,SKU-0011,1167,13,6.52,1,36.65,Sponsored Products,Exact
2025-08-28,B0661462,SKU-0012,1847,33,20.3,1,45.35,Sponsored Products,Broad
2025-08-28,B0241131,SKU-0013,2121,23,11.4,1,121.47,Sponsored Brands,Broad
2025-08-28,B0934569,SKU-0014,1547,27,10.33,1,94.27,Sponsored Brands,Exact
2025-08-28,B0916675,SKU-0015,1759,17,13.29,1,44.28,Sponsored Products,Broad
2025-08-29,B0673178,SKU-0001,1432,13,5.06,2,150.85,Sponsored Products,Broad
2025-08-29,B0494532,SKU-0002,1780,28,13.7,1,24.94,Sponsored Brands,Broad
2025-08-29,B0466098,SKU-0003,572,5,3.91,0,0.0,Sponsored Brands,Phrase
2025-08-29,B0287544,SKU-0004,1008,14,11.22,1,116.52,Sponsored Brands,Exact
2025-08-29,B0444234,SKU-0005,3004,47,18.97,6,505.78,Sponsored Brands,Broad
2025-08-29,B0474559,SKU-0006,1595,29,13.85,4,375.65,Sponsored Brands,Broad
2025-08-29,B0760123,SKU-0007,914,16,11.17,1,69.91,Sponsored Brands,Broad
2025-08-29,B0300550,SKU-0008,1580,22,20.73,3,89.11,Sponsored Brands,Phrase
2025-08-29,B0565132,SKU-0009,3146,61,26.62,6,786.08,Sponsored Products,Phrase
2025-08-29,B0138771,SKU-0010,2148,22,15.26,3,269.22,Sponsored Products,Broad
2025-08-29,B0165870,SKU-0011,1896,37,16.81,3,114.65,Sponsored Brands,Broad
2025-08-29,B0661462,SKU-0012,1025,12,6.27,1,42.6,Sponsored Products,Exact
2025-08-29,B0241131,SKU-0013,200,3,1.29,0,0.0,Sponsored Products,Phrase
2025-08-29,B0934569,SKU-0014,2595,34,23.97,4,376.18,Sponsored Products,Exact
2025-08-29,B0916675,SKU-0015,2636,22,9.88,3,120.76,Sponsored Brands,Exact
2025-08-30,B0673178,SKU-0001,2067,28,21.18,2,165.78,Sponsored Brands,Exact
2025-08-30,B0494532,SKU-0002,1944,32,22.27,5,112.87,Sponsored Brands,Broad
2025-08-30,B0466098,SKU-0003,2195,31,21.28,4,68.23,Sponsored Brands,Phrase
2025-08-30,B0287544,SKU-0004,2567,34,15.74,5,606.13,Sponsored Products,Broad
2025-08-30,B0444234,SKU-0005,2288,25,12.02,1,97.09,Sponsored Products,Broad
2025-08-30,B0474559,SKU-0006,2610,51,41.75,5,458.98,Sponsored Products,Exact
2025-08-30,B0760123,SKU-0007,1177,22,19.13,1,62.43,Sponsored Products,Exact
2025-08-30,B0300550,SKU-0008,2280,36,31.07,5,152.94,Sponsored Brands,Broad
2025-08-30,B0565132,SKU-0009,2329,23,20.38,3,407.17,Sponsored Brands,Exact
2025-08-30,B0138771,SKU-0010,1315,25,15.7,1,84.16,Sponsored Brands,Broad
2025-08-30,B0165870,SKU-0011,2740,50,42.06,6,240.68,Sponsored Products,Exact
2025-08-30,B0661462,SKU-0012,854,16,10.89,2,90.57,Sponsored Brands,Exact
2025-08-30,B0241131,SKU-0013,3570,53,21.24,2,261.01,Sponsored Products,Broad
2025-08-30,B0934569,SKU-0014,641,9,7.66,1,89.65,Sponsored Brands,Exact
2025-08-30,B0916675,SKU-0015,1789,34,19.63,5,208.88,Sponsored Brands,Broad
2025-08-31,B0673178,SKU-0001,1730,19,12.49,0,0.0,Sponsored Products,Exact
2025-08-31,B0494532,SKU-0002,1260,12,5.47,1,21.85,Sponsored Products,Broad
2025-08-31,B0466098,SKU-0003,2297,33,28.0,3,49.64,Sponsored Brands,Phrase
2025-08-31,B0287544,SKU-0004,1837,30,20.87,3,327.31,Sponsored Products,Exact
2025-08-31,B0444234,SKU-0005,657,8,6.64,0,0.0,Sponsored Brands,Broad
2025-08-31,B0474559,SKU-0006,1437,28,23.51,2,188.05,Sponsored Brands,Exact
2025-08-31,B0760123,SKU-0007,2283,33,25.11,3,211.21,Sponsored Products,Broad
2025-08-31,B0300550,SKU-0008,3006,42,29.36,4,111.72,Sponsored Products,Broad
2025-08-31,B0565132,SKU-0009,1414,24,17.68,1,144.37,Sponsored Brands,Phrase
2025-08-31,B0138771,SKU-0010,1063,15,5.88,1,82.67,Sponsored Products,Phrase
2025-08-31,B0165870,SKU-0011,2359,31,14.2,3,111.72,Sponsored Brands,Broad
2025-08-31,B0661462,SKU-0012,2211,42,33.29,3,127.26,Sponsored Brands,Broad
2025-08-31,B0241131,SKU-0013,2024,37,34.59,5,595.49,Sponsored Products,Broad
2025-08-31,B0934569,SKU-0014,2024,40,30.84,4,405.53,Sponsored Brands,Phrase
2025-08-31,B0916675,SKU-0015,1278,20,15.92,2,88.93,Sponsored Brands,Phrase
2025-09-01,B0673178,SKU-0001,3329,48,38.55,4,293.92,Sponsored Products,Phrase
2025-09-01,B0494532,SKU-0002,1356,16,12.14,1,23.72,Sponsored Brands,Phrase
2025-09-01,B0466098,SKU-0003,625,9,3.91,0,0.0,Sponsored Products,Exact
2025-09-01,B0287544,SKU-0004,2013,34,29.2,4,454.34,Sponsored Products,Phrase
2025-09-01,B0444234,SKU-0005,3056,51,22.57,4,351.62,Sponsored Products,Exact
2025-09-01,B0474559,SKU-0006,1477,23,13.76,1,96.15,Sponsored Brands,Broad
2025-09-01,B0760123,SKU-0007,2673,28,10.2,3,191.41,Sponsored Products,Broad
2025-09-01,B0300550,SKU-0008,1674,33,29.43,2,63.36,Sponsored Brands,Broad
2025-09-01,B0565132,SKU-0009,1431,23,11.97,2,260.67,Sponsored Products,Phrase
2025-09-01,B0138771,SKU-0010,2752,49,25.77,5,441.63,Sponsored Brands,Exact
2025-09-01,B0165870,SKU-0011,1239,21,17.11,2,78.84,Sponsored Products,Exact
2025-09-01,B0661462,SKU-0012,1491,17,6.25,2,94.07,Sponsored Products,Exact
2025-09-01,B0241131,SKU-0013,982,11,8.86,1,118.77,Sponsored Products,Phrase
2025-09-01,B0934569,SKU-0014,1638,28,15.21,1,96.7,Sponsored Products,Broad
2025-09-01,B0916675,SKU-0015,2460,37,31.14,3,125.55,Sponsored Brands,Exact
2025-09-02,B0673178,SKU-0001,2494,21,19.64,1,77.33,Sponsored Products,Phrase
2025-09-02,B0494532,SKU-0002,1348,22,14.3,2,49.15,Sponsored Brands,Broad
2025-09-02,B0466098,SKU-0003,1115,11,3.92,1,17.52,Sponsored Products,Broad
2025-09-02,B0287544,SKU-0004,889,15,9.6,1,112.39,Sponsored Products,Exact
2025-09-02,B0444234,SKU-0005,1226,10,9.43,0,0.0,Sponsored Products,Exact
2025-09-02,B0474559,SKU-0006,1202,20,10.15,2,190.1,Sponsored Brands,Phrase
2025-09-02,B0760123,SKU-0007,1133,19,6.77,1,62.82,Sponsored Products,Phrase
2025-09-02,B0300550,SKU-0008,1656,19,9.83,2,62.78,Sponsored Products,Exact
2025-09-02,B0565132,SKU-0009,2957,53,40.62,6,796.57,Sponsored Brands,Broad
2025-09-02,B0138771,SKU-0010,2490,29,14.61,4,353.88,Sponsored Products,Phrase
2025-09-02,B0165870,SKU-0011,2767,36,29.15,2,73.89,Sponsored Products,Broad
2025-09-02,B0661462,SKU-0012,1454,28,26.47,3,146.44,Sponsored Products,Phrase
2025-09-02,B0241131,SKU-0013,1953,32,25.82,2,254.34,Sponsored Brands,Phrase
2025-09-02,B0934569,SKU-0014,1575,16,13.34,1,102.75,Sponsored Brands,Broad
2025-09-02,B0916675,SKU-0015,2690,29,15.86,1,38.62,Sponsored Products,Exact
2025-09-03,B0673178,SKU-0001,2158,20,13.9,1,77.88,Sponsored Products,Phrase
2025-09-03,B0494532,SKU-0002,892,10,3.55,0,0.0,Sponsored Brands,Exact
2025-09-03,B0466098,SKU-0003,1379,21,9.61,1,16.47,Sponsored Products,Broad
2025-09-03,B0287544,SKU-0004,1524,21,16.11,1,121.19,Sponsored Brands,Phrase
2025-09-03,B0444234,SKU-0005,1875,25,19.86,3,276.45,Sponsored Brands,Phrase
2025-09-03,B0474559,SKU-0006,1806,30,22.44,3,267.1,Sponsored Products,Broad
2025-09-03,B0760123,SKU-0007,1980,33,22.98,4,251.57,Sponsored Brands,Phrase
2025-09-03,B0300550,SKU-0008,1848,34,27.56,5,158.61,Sponsored Products,Exact
2025-09-03,B0565132,SKU-0009,2346,44,18.51,6,793.49,Sponsored Brands,Exact
2025-09-03,B0138771,SKU-0010,2220,18,11.38,2,166.3,Sponsored Brands,Broad
2025-09-03,B0165870,SKU-0011,2694,37,18.15,4,155.76,Sponsored Brands,Phrase
2025-09-03,B0661462,SKU-0012,2660,23,20.67,3,131.34,Sponsored Products,Exact
2025-09-03,B0241131,SKU-0013,2305,35,15.45,4,514.72,Sponsored Products,Exact
